# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D1.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=1.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,647.7943,397.7943,628.3126,378.31262,628.3126,378.31262,54482.203,59423.934,54033.15,61868.086,59368.93,59423.93,14513.473,7834.9375,4941.7305,55.0
C12,-506496402,250.0,1581.2655,1331.2655,1571.5273,1321.5273,1571.5273,1321.5273,195028.92,253472.94,176646.55,255412.73,253357.95,253472.95,15145.544,78766.19,58444.016,115.0
C8,-41169962,250.0,894.0693,644.0693,633.8875,383.8875,633.8875,383.8875,50943.516,56539.273,74137.95,88093.016,56511.277,56539.273,14128.837,13955.0625,5595.758,27.996094
C7,2018695370,250.0,681.2901,431.2901,526.5989,276.59888,526.5989,276.59888,39357.156,44233.555,50048.387,62601.336,44196.4,44233.555,14395.886,12552.949,4876.3984,37.15625
C7,1083428877,250.0,1197.146,947.146,816.61523,566.61523,816.61523,566.61523,57337.42,65603.84,80951.36,105203.8,65539.01,65603.84,13528.273,24252.438,8266.422,64.83594
C2,298499967,250.0,1030.6031,780.60315,1002.52985,752.52985,1002.52985,752.52985,68680.93,106209.445,38573.457,109459.82,105846.234,106209.45,14670.941,70886.36,37528.51,363.22656
C3,-1264165101,250.0,1029.6503,779.65027,785.44366,535.44366,785.44366,535.44366,47371.14,87009.27,37103.066,121697.984,86392.86,87009.27,14441.366,84594.92,39638.133,616.41406
C2,1316144193,250.0,1019.69904,769.69904,254.35637,4.356369,254.35637,4.356369,14040.359,14042.482,129185.516,136843.1,14040.484,14042.482,13618.242,7657.578,2.1230469,1.9970703
C1,315415608,250.0,690.7631,440.76312,673.7265,423.7265,673.7265,423.7265,45667.824,66288.945,39151.09,68233.664,66017.266,66288.945,18480.1,29082.572,20621.12,271.6797
C10,-187855682,250.0,747.6862,497.68622,651.1703,401.1703,651.1703,401.1703,45993.027,50170.23,52278.676,58768.71,50155.223,50170.23,12587.047,6490.035,4177.203,15.0078125
C4,-1992587721,250.0,1370.9584,1120.9584,646.99023,396.99023,646.99023,396.99023,41885.047,52932.645,40656.168,148562.56,52592.375,52932.64,13264.898,107906.39,11047.598,340.26562
C10,675187325,250.0,1126.8435,876.8435,1123.0079,873.00793,1123.0079,873.00793,99252.88,115906.5,96330.625,116356.14,115880.51,115906.5,16350.053,20025.516,16653.617,25.992188
C4,1761766398,250.0,648.5831,398.58313,485.02795,235.02795,485.02795,235.02795,34247.805,37097.008,42238.207,53325.22,37044.926,37097.008,15499.824,11087.012,2849.2031,52.08203
C13,630898849,250.0,489.45535,239.45535,489.45535,239.45535,489.45535,239.45535,32003.525,33636.25,31980.906,33636.242,33630.246,33636.246,12723.939,1655.3359,1632.7246,5.998047
C9,-2048043543,250.0,628.1722,378.17218,440.9621,190.9621,440.9621,190.9621,35246.41,36463.746,52917.15,55659.13,36453.746,36463.746,17177.275,2741.9766,1217.3359,10.0
C5,1380944539,250.0,642.9763,392.97632,568.2698,318.26978,568.2698,318.26978,40747.47,45992.95,44177.34,53599.68,45944.39,45992.95,15545.5625,9422.342,5245.4805,48.560547
C1,-443350544,250.0,1586.289,1336.289,765.52936,515.52936,765.52936,515.52936,85639.42,91765.51,172549.84,230245.64,91607.77,91765.5,15336.953,57695.797,6126.086,157.72656
C9,66651665,250.0,1398.0566,1148.0566,550.2733,300.27332,550.2733,300.27332,39210.742,42145.383,139294.73,161281.89,42129.27,42145.38,12529.18,21987.164,2934.6406,16.109375
C10,-1385530526,250.0,1977.4106,1727.4106,1977.2072,1727.2072,1977.2072,1727.2072,200541.17,250677.86,192979.11,250708.4,250635.98,250677.84,14618.812,57729.297,50136.688,41.859375
C3,-1040023681,250.0,1306.7413,1056.7413,915.4897,665.4897,915.4897,665.4897,74457.86,90605.336,69094.34,137429.38,90355.91,90605.34,14847.11,68335.03,16147.477,249.4375
C7,1909811994,250.0,433.78436,183.78436,411.4819,161.4819,411.4819,161.4819,27742.145,28371.818,29382.686,30428.857,28362.816,28371.818,14245.74,1046.1738,629.6738,9.00293
C1,-463642527,250.0,1623.8005,1373.8005,1603.8623,1353.8623,1603.8623,1353.8623,102036.664,201442.2,68978.305,204367.33,200851.7,201442.16,13719.227,135389.02,99405.53,590.4531
C3,481889107,250.0,1099.8735,849.87354,1014.58636,764.58636,1014.58636,764.58636,67771.67,111505.62,36140.25,122217.11,111158.84,111505.6,15714.2705,86076.86,43733.945,346.7578
C1,1466068709,250.0,995.33405,745.33405,839.9093,589.9093,839.9093,589.9093,48739.39,70768.82,38188.562,88566.1,70559.06,70768.81,15954.635,50377.54,22029.434,209.75
C1,542933640,250.0,651.2279,401.2279,645.1776,395.1776,645.1776,395.1776,53405.984,58770.605,50057.637,59687.977,58643.85,58770.6,13857.619,9630.344,5364.621,126.75
C2,-31587717,250.0,734.8844,484.8844,728.1452,478.1452,728.1452,478.1452,41621.36,61192.805,28735.303,61890.918,60922.934,61192.805,14901.698,33155.613,19571.441,269.8711
C3,-1608197371,250.0,910.7635,660.7635,891.0461,641.0461,891.0461,641.0461,86973.41,99707.234,75733.3,102415.086,99616.125,99707.234,15916.32,26681.79,12733.828,91.109375
C2,-806685258,250.0,2401.1562,2151.1562,2296.1836,2046.1836,2296.1836,2046.1836,173418.48,413935.78,74464.2,436643.78,412568.44,413935.72,13303.882,362179.6,240517.31,1367.2812
C1,1337272588,250.0,1691.6245,1441.6245,1508.9547,1258.9547,1508.9547,1258.9547,122515.516,233703.06,54579.664,271411.03,232510.83,233703.08,15096.466,216831.36,111187.55,1192.25
C3,1134486876,250.0,658.40344,408.40344,612.2513,362.25128,612.2513,362.25128,33624.754,45603.625,24197.602,49664.58,45477.703,45603.625,13265.382,25466.977,11978.871,125.91992
C3,408405954,250.0,824.43665,574.43665,652.37854,402.37854,652.37854,402.37854,43882.73,60196.07,35481.7,81969.78,59913.105,60196.07,12954.672,46488.082,16313.34,282.96484
C11,707954076,250.0,890.30884,640.30884,510.31656,260.31656,510.31656,260.31656,37004.332,41078.742,68410.26,87082.01,41043.742,41078.742,12960.07,18671.75,4074.4102,35.0
C3,698709310,250.0,1110.6748,860.6748,768.8842,518.8842,768.8842,518.8842,48589.574,66109.625,30564.195,111687.48,65649.09,66109.625,13772.239,81123.28,17520.05,460.53125
C7,286052801,250.0,873.1712,623.1712,839.47986,589.47986,839.47986,589.47986,89338.305,98213.375,88124.7,103026.5,98162.1,98213.375,15144.828,14901.797,8875.07,51.273438
C6,-190541709,250.0,744.01196,494.01196,726.869,476.86902,726.869,476.86902,48972.945,60808.39,46537.133,62646.23,60743.883,60808.39,14104.396,16109.098,11835.441,64.50781
C14,-763205672,250.0,739.3481,489.34808,500.88553,250.88553,500.88553,250.88553,33469.41,36117.465,47299.02,58076.133,36087.465,36117.47,12527.355,10777.113,2648.0527,30.001953
C2,-1512022076,250.0,423.09143,173.09143,354.56134,104.56134,354.56134,104.56134,23587.977,23876.355,29607.701,30463.268,23869.53,23876.352,14559.763,855.5674,288.3789,6.8222656
C8,-2041392862,250.0,1732.2003,1482.2003,1711.736,1461.736,1711.736,1461.736,129247.26,259462.14,107255.766,263211.12,259179.77,259462.14,17423.322,155955.34,130214.875,282.375
C4,-1124915830,250.0,1395.0176,1145.0176,778.914,528.914,778.914,528.914,65948.96,88209.086,57731.664,181268.77,87614.375,88209.086,15836.581,123537.1,22260.125,594.71094
C13,174823762,250.0,482.974,232.974,440.63348,190.63348,440.63348,190.63348,29451.176,30609.586,33353.89,35209.12,30599.588,30609.588,12605.377,1855.2324,1158.4102,10.0
C3,-1668190253,250.0,1181.8657,931.8657,649.3317,399.33173,649.3317,399.33173,50990.492,60874.87,53361.023,129073.97,60570.21,60874.863,16651.756,75712.94,9884.383,304.65234
C9,1799436767,250.0,1151.4595,901.4595,1147.5239,897.5239,1147.5239,897.5239,102066.586,133258.73,95979.13,133780.66,133177.7,133258.73,15087.941,37801.53,31192.156,81.03906
C2,-1555590367,250.0,774.4928,524.4928,641.0285,391.0285,641.0285,391.0285,45303.504,54935.824,40113.055,68518.88,54779.496,54935.824,14032.761,28405.828,9632.32,156.32812
C6,650433521,250.0,673.92944,423.92944,606.63025,356.63025,606.63025,356.63025,49665.938,55744.797,54249.77,63636.402,55704.8,55744.8,13862.322,9386.633,6078.8594,39.996094
C5,-648533003,250.0,1394.4622,1144.4622,1389.1207,1139.1207,1389.1207,1139.1207,84093.36,158898.47,61069.453,159564.05,158682.12,158898.48,13817.01,98494.586,74805.1,216.35938
C9,412928697,250.0,1581.1893,1331.1893,964.9935,714.9935,964.9935,714.9935,92219.51,119862.89,125179.64,227927.14,119660.77,119862.89,14135.232,102747.5,27643.383,202.11719
C5,952822115,250.0,1025.2783,775.2783,698.73114,448.73114,698.73114,448.73114,50645.754,67820.9,57338.19,110503.06,67687.73,67820.91,15898.918,53164.867,17175.145,133.17969
C2,-1720755923,250.0,1587.0607,1337.0607,1553.5625,1303.5625,1553.5625,1303.5625,108351.05,205444.98,51909.16,210647.05,204836.19,205444.98,14088.999,158737.89,97093.94,608.7969
C8,713249548,250.0,1047.9673,797.9673,979.459,729.459,979.459,729.459,68333.95,80004.266,69393.82,85952.96,79939.266,80004.27,14721.246,16559.145,11670.3125,65.00781
C8,826247555,250.0,1123.4686,873.4686,795.91565,545.91565,795.91565,545.91565,68657.45,76194.81,99642.26,120752.84,76136.82,76194.81,15223.402,21110.578,7537.3594,57.992188
C2,785368874,250.0,2563.0186,2313.0186,388.21893,138.21893,388.21893,138.21893,27674.293,28508.2,254136.95,397581.94,28463.162,28508.2,15033.242,143444.97,833.9053,45.03711
C3,1006981601,250.0,1264.788,1014.78796,329.82205,79.82205,329.82205,79.82205,20531.094,20737.441,144710.92,155409.02,20733.441,20737.441,13182.607,10698.094,206.34766,3.9990234
C1,114827670,250.0,719.9165,469.9165,394.71896,144.71896,394.71896,144.71896,30219.66,31597.783,49267.28,63876.434,31567.783,31597.783,18159.223,14609.154,1378.123,30.0
C7,316430616,250.0,1304.0894,1054.0894,1298.6716,1048.6716,1298.6716,1048.6716,127009.96,158295.73,115511.5,159033.53,158173.1,158295.73,14701.767,43522.03,31285.773,122.640625
C8,-406689046,250.0,1217.5896,967.5896,1115.1985,865.1985,1115.1985,865.1985,85545.58,122929.26,74628.33,134464.38,122695.29,122929.266,16046.938,59836.05,37383.68,233.97656
C9,-9578651,250.0,1091.7349,841.73486,726.5848,476.58478,726.5848,476.58478,69189.164,73143.625,114248.82,124966.36,73127.625,73143.625,15861.027,10717.531,3954.461,16.0
C2,103950130,250.0,1494.165,1244.165,1410.4591,1160.4591,1410.4591,1160.4591,102752.555,164681.95,52796.332,177812.44,164021.97,164681.95,11637.774,125016.09,61929.39,659.9844
C2,428964495,250.0,387.39377,137.39377,304.95367,54.953674,304.95367,54.953674,17378.28,17428.621,24278.348,24891.936,17425.697,17428.623,12494.058,613.5879,50.341797,2.9257812
C7,277769676,250.0,632.90857,382.90857,620.23004,370.23004,620.23004,370.23004,49482.33,53650.266,49611.043,54996.31,53630.27,53650.27,16358.795,5385.2656,4167.9375,20.0
C7,1602222556,250.0,1781.7666,1531.7666,1604.6824,1354.6824,1604.6824,1354.6824,133260.53,223118.7,85333.516,252985.22,222599.11,223118.7,14399.831,167651.7,89858.17,519.59375
C14,1124888674,250.0,1266.6891,1016.6891,987.1755,737.1755,987.1755,737.1755,95542.42,110488.26,121742.195,151411.66,110443.77,110488.26,14612.412,29669.469,14945.836,44.484375
C9,-612012627,250.0,930.32806,680.32806,928.35376,678.35376,928.35376,678.35376,82094.3,93924.39,80474.54,94151.73,93906.625,93924.4,15980.609,13677.1875,11830.094,17.773438
C8,1996655901,250.0,2003.4518,1753.4518,1332.0463,1082.0463,1332.0463,1082.0463,115979.875,213014.7,103951.945,346313.8,212515.86,213014.67,15418.984,242361.84,97034.83,498.8125
C10,-1298180151,250.0,1157.0574,907.0574,1155.9565,905.95654,1155.9565,905.95654,85669.336,102353.09,83033.69,102458.664,102324.07,102353.08,14328.588,19424.984,16683.758,29.007812
C1,80545937,250.0,417.07578,167.07578,374.581,124.58099,374.581,124.58099,25177.377,26317.43,27527.102,30277.492,26297.43,26317.43,14189.425,2750.3906,1140.0527,20.0
C10,-712186726,250.0,739.3744,489.3744,571.55817,321.55817,571.55817,321.55817,39324.32,42527.152,54107.555,60285.066,42515.785,42527.15,13551.935,6177.5156,3202.834,11.3671875
C3,1734157801,250.0,608.812,358.812,578.1822,328.1822,578.1822,328.1822,42430.73,44917.523,41531.914,48202.36,44870.73,44917.523,14019.516,6670.4453,2486.793,46.79297
C4,1758599912,250.0,1405.5319,1155.5319,744.7474,494.74738,744.7474,494.74738,67755.484,78204.94,109996.72,169043.58,78049.95,78204.94,16545.076,59046.86,10449.453,154.98438
C6,1220024408,250.0,1514.8318,1264.8318,1478.5186,1228.5186,1478.5186,1228.5186,98386.46,175771.86,64743.41,180976.62,175468.0,175771.86,16666.451,116233.21,77385.4,303.85938
C3,110083800,250.0,1757.896,1507.896,1592.9681,1342.9681,1592.9681,1342.9681,117841.14,194289.73,57823.285,218376.97,193761.77,194289.75,12760.902,160553.69,76448.586,527.9844
