# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D50.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=50.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1134486876,250.0,1750.8376,1500.8376,1723.078,1473.078,1723.078,1473.078,86234.84,136490.83,41723.01,139045.56,127605.93,136490.83,7311.9595,97322.56,50255.984,8884.898
C3,408405954,250.0,2233.41,1983.4099,3158.1792,2908.1792,3158.1792,2908.1792,191017.2,343181.2,57331.258,223367.14,324904.9,343181.2,7468.2563,166035.89,152163.98,18276.281
C11,707954076,250.0,1762.6642,1512.6642,1703.903,1453.903,1703.903,1453.903,138816.22,156948.14,136782.06,163871.56,155125.66,156948.16,6865.8896,27089.5,18131.922,1822.5
C3,698709310,250.0,3101.045,2851.045,2599.9233,2349.9233,2599.9233,2349.9233,166995.28,259290.52,57030.46,319681.9,238444.48,259290.53,7894.0205,262651.44,92295.234,20846.047
C7,286052801,250.0,2678.0198,2428.0198,2496.275,2246.275,2496.275,2246.275,263663.38,300566.38,262283.94,327517.3,297219.7,300566.38,8217.576,65233.39,36903.016,3346.6875
C6,-190541709,250.0,1597.2064,1347.2064,1552.353,1302.353,1552.353,1302.353,107568.1,138281.19,98588.48,142874.44,135475.31,138281.19,9778.968,44285.96,30713.086,2805.875
C14,-763205672,250.0,1602.9797,1352.9797,1526.5306,1276.5306,1526.5306,1276.5306,109045.55,122287.09,106455.22,129762.42,120828.21,122287.1,7652.45,23307.203,13241.547,1458.8828
C2,-1512022076,250.0,736.7941,486.79413,784.0664,534.0664,784.0664,534.0664,48623.12,49729.445,43951.54,45838.54,49556.203,49729.445,8629.338,1887.0039,1106.3281,173.24219
C8,-2041392862,250.0,4237.405,3987.4048,4240.0815,3990.0815,4240.0815,3990.0815,308205.16,650703.06,202470.36,650188.5,634934.06,650703.06,7576.619,447718.12,342497.9,15769.0
C4,-1124915830,250.0,3905.1677,3655.1677,3910.4668,3660.4668,3910.4668,3660.4668,308154.9,484424.44,130513.12,483648.44,452111.9,484424.47,7028.3477,353135.3,176269.53,32312.562
C13,174823762,250.0,1362.1716,1112.1716,1540.4866,1290.4866,1540.4866,1290.4866,124455.76,136534.45,103293.23,116649.484,135655.84,136534.45,7661.54,13356.258,12078.695,878.6094
C3,-1668190253,250.0,3351.9087,3101.9087,3475.0505,3225.0505,3475.0505,3225.0505,257206.4,378234.6,112483.09,363388.12,359420.78,378234.6,9642.923,250905.02,121028.17,18813.781
C9,1799436767,250.0,2455.2866,2205.2866,2628.6216,2378.6216,2628.6216,2378.6216,231741.42,282960.53,196993.0,259862.0,280415.06,282960.53,8537.491,62869.0,51219.094,2545.4688
C2,-1555590367,250.0,2349.7808,2099.7808,2571.2676,2321.2676,2571.2676,2321.2676,181991.12,262157.78,90771.6,233468.52,251578.95,262157.78,7976.1445,142696.92,80166.66,10578.828
C6,650433521,250.0,1764.109,1514.109,1762.467,1512.467,1762.467,1512.467,130921.34,156498.27,120158.58,156648.8,154603.14,156498.28,8255.978,36490.21,25576.914,1895.1406
C5,-648533003,250.0,2330.7153,2080.7153,2652.0525,2402.0525,2652.0525,2402.0525,158176.23,285115.0,84790.805,247092.47,275232.34,285115.0,7818.0435,162301.66,126938.78,9882.656
C9,412928697,250.0,5251.9697,5001.9697,5386.19,5136.19,5386.19,5136.19,516010.56,808290.6,362587.34,785904.25,796369.2,808290.7,7354.0317,423316.88,292280.03,11921.5
C5,952822115,250.0,1969.1321,1719.1321,2716.7815,2466.7815,2716.7815,2466.7815,178724.56,289985.66,87524.99,197387.66,282995.0,289985.66,9018.643,109862.664,111261.08,6990.6562
C2,-1720755923,250.0,5980.8213,5730.8213,6023.96,5773.96,6023.96,5773.96,421855.5,888875.25,120879.21,881895.44,856178.2,888875.25,7576.8237,761016.25,467019.75,32697.062
C8,713249548,250.0,2117.6685,1867.6685,2258.8513,2008.8513,2258.8513,2008.8513,160867.66,188831.94,135153.23,175661.97,185407.2,188831.94,8446.461,40508.727,27964.281,3424.7188
C8,826247555,250.0,2494.7146,2244.7146,2621.963,2371.963,2621.963,2371.963,242078.17,287049.6,207782.02,270618.2,283205.3,287049.56,8752.655,62836.17,44971.42,3844.25
C2,785368874,250.0,5197.8545,4947.8545,3568.84,3318.84,3568.84,3318.84,435978.47,510706.47,503751.75,818501.06,503097.53,510706.47,8355.613,314749.3,74728.0,7608.9375
C3,1006981601,250.0,2813.5662,2563.5662,1133.3064,883.3064,1133.3064,883.3064,88283.84,91606.47,303358.62,332416.62,90810.66,91606.47,6752.4077,29058.0,3322.625,795.8125
C1,114827670,250.0,3341.916,3091.916,783.1695,533.1695,783.1695,533.1695,52567.77,58071.02,195108.53,335906.6,55924.945,58071.03,10077.83,140798.05,5503.25,2146.086
C7,316430616,250.0,3458.4714,3208.4714,3348.8992,3098.8992,3348.8992,3098.8992,330283.38,421501.5,297875.88,438417.6,413722.06,421501.47,9108.406,140541.72,91218.125,7779.4062
C8,-406689046,250.0,4726.69,4476.69,4553.552,4303.552,4553.552,4303.552,322673.2,555560.56,230999.72,578642.8,542505.4,555560.6,8751.127,347643.1,232887.38,13055.25
C9,-9578651,250.0,1965.907,1715.907,1073.7798,823.7798,1073.7798,823.7798,85060.51,88918.07,186691.84,215257.2,88202.02,88918.07,7981.383,28565.36,3857.5625,716.0469
C2,103950130,250.0,4476.203,4226.203,4524.275,4274.275,4524.275,4274.275,343844.2,577545.75,136065.5,570046.6,547794.5,577545.6,7226.863,433981.12,233701.56,29751.125
C2,428964495,250.0,847.844,597.844,748.66266,498.66266,748.66266,498.66266,48053.543,49219.48,56295.953,59085.75,48966.203,49219.48,8214.628,2789.7969,1165.9375,253.27734
C7,277769676,250.0,1384.5151,1134.5151,1380.992,1130.992,1380.992,1130.992,101952.53,113487.89,97783.15,113831.95,112128.29,113487.91,8614.213,16048.805,11535.359,1359.6172
C7,1602222556,250.0,5587.527,5337.527,5759.7495,5509.7495,5759.7495,5509.7495,493922.53,858140.8,197566.23,828283.3,830259.8,858140.75,8627.804,630717.06,364218.28,27880.938
C14,1124888674,250.0,3172.5632,2922.5632,3161.2505,2911.2505,3161.2505,2911.2505,311906.94,371856.12,293351.97,373471.97,369831.38,371856.16,6628.738,80120.0,59949.188,2024.7812
C9,-612012627,250.0,2279.125,2029.125,2257.617,2007.617,2257.617,2007.617,173738.27,207233.39,168965.22,209378.8,206009.05,207233.38,8522.691,40413.58,33495.125,1224.3281
C8,1996655901,250.0,6128.1387,5878.1387,6455.4077,6205.4077,6455.4077,6205.4077,490326.66,1062590.8,237262.19,1002184.0,1037629.44,1062590.8,8719.959,764921.8,572264.06,24961.25
C10,-1298180151,250.0,2709.1497,2459.1497,2764.7817,2514.7817,2764.7817,2514.7817,215729.83,255479.1,202738.38,249798.88,254314.89,255479.1,8790.507,47060.5,39749.266,1164.2031
C1,80545937,250.0,828.88495,578.88495,941.7772,691.7772,941.7772,691.7772,60917.465,69103.555,46383.965,57688.39,66958.14,69103.56,8794.527,11304.426,8186.09,2145.4219
C10,-712186726,250.0,1448.8741,1198.8741,942.43475,692.43475,942.43475,692.43475,64211.12,67685.266,107053.69,122101.766,67165.52,67685.26,7786.0527,15048.078,3474.1406,519.7344
C3,1734157801,250.0,1565.4666,1315.4666,1633.0035,1383.0035,1633.0035,1383.0035,121575.1,136468.66,98770.75,130119.88,133696.8,136468.64,8787.978,31349.133,14893.555,2771.8438
C4,1758599912,250.0,3834.002,3584.002,2919.6846,2669.6846,2919.6846,2669.6846,276791.06,348714.84,272183.06,486227.03,335546.88,348714.8,8520.914,214043.97,71923.78,13167.9375
C6,1220024408,250.0,3845.4614,3595.4614,3972.1792,3722.1792,3972.1792,3722.1792,248063.58,492067.8,116993.57,475032.25,475601.6,492067.88,8640.57,358038.7,244004.23,16466.281
C3,110083800,250.0,5754.2036,5504.2036,5926.101,5676.101,5926.101,5676.101,465049.97,775768.6,149781.16,749320.06,745705.6,775768.56,8949.782,599538.9,310718.62,30062.938
C1,-2135800093,250.0,2349.13,2099.13,1125.4006,875.40063,1125.4006,875.40063,78177.375,93113.45,139347.61,225148.72,90308.85,93113.46,9177.299,85801.11,14936.078,2804.6094
C4,1702456891,250.0,2915.8535,2665.8535,2930.0696,2680.0696,2930.0696,2680.0696,218567.72,321413.62,124858.07,319762.47,304340.0,321413.6,8235.198,194904.4,102845.92,17073.594
C3,-503307268,250.0,1750.7157,1500.7157,1625.4603,1375.4603,1625.4603,1375.4603,92157.08,122663.83,60430.254,133033.23,117850.15,122663.83,7861.6807,72602.984,30506.75,4813.6797
C2,1213087600,250.0,2371.4846,2121.4846,2604.691,2354.691,2604.691,2354.691,181580.8,261406.33,105489.79,233071.2,247650.48,261406.36,8014.4854,127581.414,79825.53,13755.875
C7,-1081705337,250.0,2837.788,2587.788,2652.57,2402.57,2652.57,2402.57,249778.06,309453.0,223889.48,334983.12,304301.34,309453.03,8117.9414,111093.64,59674.938,5151.6875
C7,-2965150,250.0,4094.6663,3844.6663,3975.3347,3725.3347,3975.3347,3725.3347,318773.25,523616.34,254667.5,541265.7,513915.6,523616.3,7847.6724,286598.2,204843.1,9700.719
C3,-1128452549,250.0,2646.8228,2396.8228,2300.3164,2050.3164,2300.3164,2050.3164,135443.86,195132.33,69406.38,229181.19,184434.06,195132.33,7594.6094,159774.81,59688.47,10698.266
C13,-528027027,250.0,6011.642,5761.642,6162.5127,5912.5127,6162.5127,5912.5127,721815.56,1003174.2,676273.9,974583.25,999813.5,1003174.3,8015.8384,298309.38,281358.62,3360.8125
C11,1980218242,250.0,1600.5756,1350.5756,1355.038,1105.038,1355.038,1105.038,104244.32,113400.86,128659.17,144487.39,112612.03,113400.85,7527.9717,15828.219,9156.539,788.8203
C3,-1577489105,250.0,1824.9027,1574.9027,2073.1252,1823.1252,2073.1252,1823.1252,111467.77,171511.98,57564.508,147795.5,163459.6,171511.98,9416.7,90230.984,60044.21,8052.3906
C8,468501319,250.0,2082.4788,1832.4788,1922.2675,1672.2675,1922.2675,1672.2675,147604.27,162618.73,154709.9,177746.8,162037.42,162618.77,8524.918,23036.89,15014.469,581.34375
C1,-1869548146,250.0,2938.0637,2688.0637,3109.7527,2859.7527,3109.7527,2859.7527,175937.14,344126.44,59030.66,321223.4,321140.44,344126.44,9592.462,262192.75,168189.3,22986.0
C1,-1409282735,250.0,7943.922,7693.922,7385.4185,7135.4185,7385.4185,7135.4185,930889.75,1270864.8,728068.7,1383045.1,1241573.9,1270864.9,7607.2524,654976.44,339975.0,29291.0
C3,159747449,250.0,780.7405,530.7405,925.8028,675.8028,925.8028,675.8028,57048.12,62158.777,40690.508,46548.133,60959.543,62158.777,6390.426,5857.625,5110.6562,1199.2344
C4,2084122642,250.0,3179.9216,2929.9216,2470.9456,2220.9456,2470.9456,2220.9456,213688.67,256859.31,219161.2,348546.28,249626.11,256859.28,8274.141,129385.06,43170.64,7233.172
C3,176527414,250.0,2674.2515,2424.2515,2988.09,2738.09,2988.09,2738.09,241955.9,339107.97,135021.67,295648.44,327813.7,339108.0,8801.893,160626.75,97152.05,11294.3125
C2,1949557543,250.0,1803.952,1553.952,771.82214,521.82214,771.82214,521.82214,52215.188,54440.652,143969.66,166924.23,53489.29,54440.645,8664.064,22954.578,2225.461,951.35156
C14,-2124536784,250.0,1460.8344,1210.8344,1439.0228,1189.0228,1439.0228,1189.0228,105136.875,114787.195,102491.87,117000.61,114077.66,114787.19,8229.391,14508.742,9650.32,709.53125
C7,-1402574388,250.0,3350.3633,3100.3633,3518.1682,3268.1682,3518.1682,3268.1682,297955.84,379869.5,255447.98,359610.06,375081.53,379869.38,8271.682,104162.08,81913.66,4787.8438
C1,357533351,250.0,3426.9736,3176.9736,3307.7144,3057.7144,3307.7144,3057.7144,207752.98,371813.25,58522.152,388144.25,350140.47,371813.25,7232.4287,329622.1,164060.25,21672.781
C3,-745000173,250.0,3101.086,2851.086,3193.8547,2943.8547,3193.8547,2943.8547,290493.4,339414.12,223832.62,327817.38,333234.9,339414.1,9129.897,103984.734,48920.72,6179.1875
C4,119658930,250.0,2651.7114,2401.7114,2333.9531,2083.9531,2333.9531,2083.9531,202166.33,282844.16,152876.36,333099.53,265186.03,282844.16,7411.1104,180223.16,80677.81,17658.11
C5,-47748695,250.0,1402.4854,1152.4854,1546.6659,1296.6659,1546.6659,1296.6659,109847.01,120762.805,95200.016,107666.05,120101.12,120762.805,8552.034,12466.031,10915.797,661.6875
C3,732230767,250.0,1580.3372,1330.3372,518.9202,268.92023,518.9202,268.92023,26092.93,26344.371,154555.27,167511.16,26221.498,26344.37,7156.653,12955.891,251.4414,122.87109
C2,-286604446,250.0,1389.4282,1139.4282,1260.2079,1010.2079,1260.2079,1010.2079,84684.34,95624.55,80588.95,108254.75,91849.26,95624.54,8481.762,27665.797,10940.203,3775.2812
C5,-1058345380,250.0,7139.2593,6889.2593,6612.797,6362.797,6612.797,6362.797,718327.1,1165700.5,415487.03,1273624.5,1129559.1,1165700.4,7050.075,858137.4,447373.3,36141.25
C3,2097610983,250.0,1885.1254,1635.1254,1665.5184,1415.5184,1665.5184,1415.5184,133603.6,156031.1,123874.055,180957.55,150834.67,156031.1,8890.116,57083.5,22427.508,5196.422
C5,408255009,250.0,4037.1199,3787.1199,4162.626,3912.626,4162.626,3912.626,309869.84,528807.25,147341.9,510912.34,503036.66,528807.4,8311.164,363570.44,218937.4,25770.719
C9,117000257,250.0,1920.8403,1670.8403,1939.398,1689.398,1939.398,1689.398,166504.5,198652.45,157176.89,196265.45,196776.53,198652.45,8220.8545,39088.562,32147.953,1875.9219
C4,-681037470,250.0,3571.4084,3321.4084,3692.9202,3442.9202,3692.9202,3442.9202,211875.16,424338.72,76943.69,409789.9,403053.94,424338.75,7481.4546,332846.2,212463.55,21284.812
