# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V32E2D5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=32, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,390.50366,140.50366,320.0295,70.02951,320.0295,70.02951,43557.613,43675.68,61492.914,61904.75,43655.68,43675.68,27903.559,411.83984,118.07031,20.0
C14,-506496402,250.0,3088.2966,2838.2966,3082.3428,2832.3428,3082.3428,2832.3428,1175579.9,1294760.9,1169571.5,1297722.9,1294501.1,1294760.8,30707.107,128151.375,119181.0,259.625
C5,-41169962,250.0,2113.4695,1863.4695,2084.4116,1834.4116,2084.4116,1834.4116,276538.75,612642.44,110893.53,623581.3,604285.8,612642.44,30195.309,512687.78,336103.7,8356.625
C2,2018695370,250.0,1339.0446,1089.0446,928.79724,678.79724,928.79724,678.79724,178067.52,215376.66,199579.77,335287.1,213176.27,215376.66,27383.77,135707.31,37309.14,2200.3906
C10,1083428877,250.0,1927.4801,1677.4801,1490.3481,1240.3481,1490.3481,1240.3481,380275.66,418129.6,466677.6,567067.94,416562.66,418129.6,29253.73,100390.31,37853.938,1566.9375
C12,298499967,250.0,948.4289,698.4289,775.48596,525.48596,775.48596,525.48596,167977.56,175866.55,216945.19,233740.31,175540.25,175866.55,30531.5,16795.125,7888.9844,326.29688
C12,-1264165101,250.0,1404.1614,1154.1614,1243.883,993.88306,1243.883,993.88306,361454.5,384219.7,412783.38,445329.06,384027.06,384219.72,29604.094,32545.688,22765.188,192.65625
C6,1316144193,250.0,1380.56,1130.56,860.8801,610.8801,860.8801,610.8801,177140.8,194598.73,280137.62,354859.2,193892.38,194598.7,28521.266,74721.58,17457.938,706.3281
C4,315415608,250.0,1285.9115,1035.9115,937.68195,687.68195,937.68195,687.68195,207246.56,224765.2,269521.6,337550.84,223797.12,224765.2,33350.03,68029.25,17518.64,968.0781
C11,-187855682,250.0,1850.3916,1600.3916,938.085,688.085,938.085,688.085,226215.03,267248.97,393969.9,623910.25,265833.6,267248.97,32610.252,229940.34,41033.938,1415.375
C11,-1992587721,250.0,1811.7739,1561.7739,1347.739,1097.739,1347.739,1097.739,319232.28,370388.62,410486.2,525527.3,369583.38,370388.62,30057.822,115041.125,51156.344,805.25
C7,675187325,250.0,2415.7175,2165.7175,1426.9124,1176.9124,1426.9124,1176.9124,346600.5,399781.7,568298.9,735618.94,398919.4,399781.7,30362.809,167320.06,53181.188,862.28125
C6,1761766398,250.0,1270.8881,1020.88806,950.606,700.606,950.606,700.606,185868.03,208582.42,234188.19,300450.34,207466.0,208582.42,28582.434,66262.16,22714.39,1116.4219
C12,630898849,250.0,925.7866,675.7866,603.8153,353.8153,603.8153,353.8153,118306.03,122694.63,217848.92,236043.55,122512.87,122694.63,26868.338,18194.625,4388.6016,181.76562
C5,-2048043543,250.0,1550.6183,1300.6183,786.81683,536.81683,786.81683,536.81683,131112.4,162106.52,141404.98,369053.47,159484.1,162106.52,31439.156,227648.48,30994.11,2622.4219
