# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D25.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=25.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,1056.1472,806.1472,949.7721,699.7721,949.7721,699.7721,73484.81,80471.94,77231.4,94243.195,78714.13,80471.94,9298.714,17011.797,6987.129,1757.8047
C12,-506496402,250.0,3660.5698,3410.5698,3380.3354,3130.3354,3380.3354,3130.3354,434246.6,583324.4,391626.7,640875.25,580268.7,583324.4,11356.306,249248.56,149077.78,3055.6875
C8,-41169962,250.0,1096.6765,846.6765,944.241,694.241,944.241,694.241,68753.125,77285.06,78122.1,92876.0,76552.84,77285.06,10571.096,14753.898,8531.9375,732.21875
C7,2018695370,250.0,1181.8428,931.8428,1172.619,922.619,1172.619,922.619,87392.77,105669.39,79606.11,106563.58,104118.914,105669.39,10092.359,26957.469,18276.617,1550.4766
C7,1083428877,250.0,1940.2902,1690.2902,1749.9825,1499.9825,1749.9825,1499.9825,129900.15,152058.1,133323.31,172931.8,150229.1,152058.08,10439.507,39608.492,22157.953,1828.9844
C2,298499967,250.0,1674.3495,1424.3495,1730.4116,1480.4116,1730.4116,1480.4116,109519.94,188285.67,50318.723,180582.14,177217.38,188285.69,9930.831,130263.42,78765.734,11068.3125
C3,-1264165101,250.0,3026.25,2776.25,3212.0784,2962.0784,3212.0784,2962.0784,164132.05,430687.88,61336.85,402018.12,412724.22,430687.88,10414.643,340681.25,266555.8,17963.656
C2,1316144193,250.0,1392.45,1142.45,418.5925,168.5925,418.5925,168.5925,26062.766,26100.41,148338.47,159983.11,26068.545,26100.41,11275.491,11644.641,37.645508,31.865234
C1,315415608,250.0,1214.9237,964.9237,1344.5968,1094.5968,1344.5968,1094.5968,66641.91,123327.32,35479.504,108644.43,115739.93,123327.32,10843.309,73164.93,56685.418,7587.3906
C10,-187855682,250.0,918.6359,668.6359,869.7651,619.7651,869.7651,619.7651,59954.08,65513.332,63023.543,70299.305,65254.51,65513.332,9147.701,7275.758,5559.254,258.8203
C4,-1992587721,250.0,2440.1978,2190.1978,2465.586,2215.586,2465.586,2215.586,164910.5,271528.12,64233.082,268594.2,262380.12,271528.12,11585.419,204361.1,106617.625,9148.0
C10,675187325,250.0,1749.0085,1499.0085,1418.4551,1168.4551,1418.4551,1168.4551,125978.016,144789.05,151970.2,188193.25,143933.47,144789.03,11245.865,36223.047,18811.04,855.5625
C4,1761766398,250.0,2214.5886,1964.5886,1964.5563,1714.5563,1964.5563,1714.5563,158203.77,195455.61,134753.56,225244.52,192849.83,195455.61,10717.501,90490.95,37251.844,2605.7812
C13,630898849,250.0,1115.0516,865.05164,1052.8472,802.84717,1052.8472,802.84717,81476.74,90999.58,84786.42,98019.8,90169.266,90999.59,9698.925,13233.375,9522.836,830.3281
C9,-2048043543,250.0,1032.4526,782.45264,1081.365,831.365,1081.365,831.365,91101.02,98703.14,86577.2,94044.73,98489.41,98703.14,12351.593,7467.5234,7602.117,213.73438
C5,1380944539,250.0,1178.379,928.379,1136.0251,886.02515,1136.0251,886.02515,76896.96,96249.83,73491.4,100280.78,94877.23,96249.83,11743.8,26789.387,19352.871,1372.6016
C1,-443350544,250.0,2552.5825,2302.5825,2235.4958,1985.4958,2235.4958,1985.4958,273401.53,302753.8,257422.16,356815.06,297863.44,302753.78,9343.294,99392.92,29352.281,4890.3438
C9,66651665,250.0,1317.2004,1067.2004,992.1519,742.1519,992.1519,742.1519,82909.97,88182.95,114999.05,130875.51,87701.25,88182.96,8851.428,15876.461,5272.9844,481.71094
C10,-1385530526,250.0,2432.4834,2182.4834,2427.2354,2177.2354,2427.2354,2177.2354,243495.28,293663.5,234040.0,294352.97,292584.88,293663.53,10550.584,60312.953,50168.203,1078.6562
C3,-1040023681,250.0,1738.0198,1488.0198,1880.8275,1630.8275,1880.8275,1630.8275,147374.8,194533.8,85085.36,175784.38,187440.67,194533.81,10202.739,90699.016,47159.0,7093.1406
C7,1909811994,250.0,909.2611,659.2611,903.4365,653.4365,903.4365,653.4365,72433.266,78043.69,71394.625,78840.97,77547.69,78043.69,9428.734,7446.3438,5610.422,496.0
C1,-463642527,250.0,4792.055,4542.055,4983.6567,4733.6567,4983.6567,4733.6567,290307.44,643100.5,152333.89,617997.4,629676.56,643100.44,10660.114,465663.47,352793.06,13423.875
C3,481889107,250.0,1903.0471,1653.0471,1959.8507,1709.8507,1959.8507,1709.8507,122302.97,203089.9,41763.2,196198.48,193442.48,203089.94,10405.032,154435.28,80786.94,9647.453
C1,1466068709,250.0,1698.31,1448.31,1885.246,1635.246,1885.246,1635.246,108305.08,175231.3,53712.54,154290.33,169265.06,175231.3,10258.574,100577.78,66926.22,5966.2344
C1,542933640,250.0,1197.5242,947.5242,1164.1238,914.1238,1164.1238,914.1238,102026.77,115326.195,94177.99,118929.23,113178.88,115326.2,11942.598,24751.234,13299.422,2147.3281
C2,-31587717,250.0,1539.5507,1289.5507,1700.1383,1450.1383,1700.1383,1450.1383,93484.31,154545.05,44998.332,138475.61,148693.44,154545.05,10323.496,93477.27,61060.734,5851.6094
C3,-1608197371,250.0,2620.214,2370.214,909.49445,659.49445,909.49445,659.49445,68045.125,76025.21,206812.98,323949.03,74172.9,76025.21,10324.479,117136.06,7980.086,1852.3125
C2,-806685258,250.0,4647.8022,4397.8022,5132.298,4882.298,5132.298,4882.298,383442.7,979946.1,104773.4,864696.9,940724.8,979946.06,8559.356,759923.44,596503.4,39221.25
C1,1337272588,250.0,4638.647,4388.647,4560.9,4310.9,4560.9,4310.9,370121.2,839791.1,100277.234,855918.94,807112.4,839791.06,10939.177,755641.7,469669.94,32678.688
C3,1134486876,250.0,1364.4249,1114.4249,1374.124,1124.124,1374.124,1124.124,67201.17,106582.39,34876.016,105757.06,102519.85,106582.4,8434.729,70881.05,39381.22,4062.5469
C3,408405954,250.0,1481.7506,1231.7506,1687.661,1437.661,1687.661,1437.661,101911.22,166505.08,40648.473,143731.95,158986.9,166505.08,9483.68,103083.484,64593.867,7518.1875
C11,707954076,250.0,1172.6694,922.66943,1119.0911,869.09106,1119.0911,869.09106,91507.94,102939.44,90396.32,109389.75,101975.984,102939.44,9826.724,18993.43,11431.5,963.4531
C3,698709310,250.0,2681.4866,2431.4866,2584.7998,2334.7998,2584.7998,2334.7998,164334.45,275923.6,53891.99,288193.44,263619.34,275923.6,9752.227,234301.45,111589.16,12304.25
C7,286052801,250.0,1622.5519,1372.5519,1725.5226,1475.5226,1725.5226,1475.5226,189794.75,217423.02,161518.97,202211.83,215429.1,217423.03,9730.079,40692.86,27628.266,1993.9375
C6,-190541709,250.0,1050.0583,800.05835,952.4882,702.4882,952.4882,702.4882,64714.273,79164.5,63398.61,88475.69,77784.984,79164.5,11940.426,25077.082,14450.23,1379.5156
C14,-763205672,250.0,1263.6365,1013.6365,1259.4922,1009.4922,1259.4922,1009.4922,92941.65,106392.1,87941.15,106845.836,105520.984,106392.11,9933.36,18904.688,13450.453,871.125
C2,-1512022076,250.0,518.9605,268.9605,545.2623,295.26233,545.2623,295.26233,36821.2,37456.35,34374.844,35098.965,37357.305,37456.35,12792.633,724.1211,635.15234,99.046875
C8,-2041392862,250.0,2935.9146,2685.9146,2873.7634,2623.7634,2873.7634,2623.7634,214383.84,450639.22,150335.45,462988.97,442068.72,450639.2,8866.346,312653.5,236255.38,8570.469
C4,-1124915830,250.0,1944.2188,1694.2188,2073.0142,1823.0142,2073.0142,1823.0142,164724.7,245065.34,73647.95,227305.81,231472.31,245065.33,9452.357,153657.86,80340.64,13593.016
C13,174823762,250.0,907.64404,657.64404,963.2428,713.2428,963.2428,713.2428,73226.0,79940.82,66096.27,73919.766,79575.836,79940.82,9689.121,7823.492,6714.824,364.9922
C3,-1668190253,250.0,3047.9119,2797.9119,2443.706,2193.706,2443.706,2193.706,188819.34,277199.66,111462.89,354799.78,268397.44,277199.7,13022.817,243336.9,88380.31,8802.25
C9,1799436767,250.0,1924.7178,1674.7178,1998.7217,1748.7217,1998.7217,1748.7217,167168.83,212991.72,144359.86,202893.77,211690.47,212991.75,10446.714,58533.906,45822.89,1301.2812
C2,-1555590367,250.0,1654.6012,1404.6012,1554.2472,1304.2472,1554.2472,1304.2472,113871.766,156680.58,68563.35,169453.8,151650.75,156680.58,10661.46,100890.45,42808.82,5029.828
C6,650433521,250.0,1402.4069,1152.4069,1488.247,1238.247,1488.247,1238.247,115994.61,137905.22,100937.46,128539.55,136874.66,137905.22,10258.266,27602.086,21910.61,1030.5625
C5,-648533003,250.0,1804.4398,1554.4398,1729.78,1479.78,1729.78,1479.78,105911.4,179299.8,71956.62,188940.25,174216.98,179299.8,9952.458,116983.64,73388.41,5082.8125
C9,412928697,250.0,2675.164,2425.164,2128.1895,1878.1895,2128.1895,1878.1895,220659.64,306856.84,217199.95,410690.5,301039.25,306856.84,10899.819,193490.55,86197.2,5817.5938
C5,952822115,250.0,2449.4688,2199.4688,2362.8376,2112.8376,2362.8376,2112.8376,160875.77,266149.78,113032.07,275714.03,262415.25,266149.75,11622.068,162681.97,105274.016,3734.5
C2,-1720755923,250.0,3861.8857,3611.8857,4037.074,3787.074,4037.074,3787.074,281044.72,568726.3,86420.5,539471.6,550956.06,568726.25,10427.595,453051.1,287681.56,17770.188
C8,713249548,250.0,1111.4637,861.46375,1070.7897,820.7897,1070.7897,820.7897,73429.125,79884.39,70306.64,83405.734,78620.43,79884.4,9949.678,13099.094,6455.2656,1263.9688
C8,826247555,250.0,2200.2883,1950.2883,2005.615,1755.615,2005.615,1755.615,188255.14,226893.12,192408.47,254534.11,224863.31,226893.12,10917.04,62125.64,38637.984,2029.8125
C2,785368874,250.0,4290.6934,4040.6934,2492.1519,2242.1519,2492.1519,2242.1519,307839.88,351972.3,453742.38,705559.5,347906.2,351972.3,10929.843,251817.16,44132.438,4066.125
C3,1006981601,250.0,1724.3453,1474.3453,571.7398,321.7398,571.7398,321.7398,37302.53,38612.8,185540.73,206817.03,38344.312,38612.805,8842.569,21276.297,1310.2695,268.49023
C1,114827670,250.0,1628.5281,1378.5281,789.72534,539.72534,789.72534,539.72534,58843.36,67660.29,98698.59,151194.12,66279.16,67660.29,13680.831,52495.53,8816.93,1381.1328
C7,316430616,250.0,2276.0117,2026.0117,1681.732,1431.732,1681.732,1431.732,170793.1,207200.12,209981.12,302098.2,203747.98,207200.12,11663.843,92117.06,36407.03,3452.1406
C8,-406689046,250.0,2430.913,2180.913,2202.6846,1952.6846,2202.6846,1952.6846,165511.73,260450.0,132620.66,293678.44,253334.62,260449.98,10744.514,161057.8,94938.266,7115.3594
C9,-9578651,250.0,2034.4515,1784.4515,754.0199,504.0199,754.0199,504.0199,61814.773,63765.418,218992.22,249678.56,63395.074,63765.418,11246.457,30686.344,1950.6445,370.34375
C2,103950130,250.0,2356.897,2106.897,2063.0684,1813.0684,2063.0684,1813.0684,162192.53,254907.95,89356.01,301239.38,239293.92,254907.95,10326.444,211883.38,92715.42,15614.031
C2,428964495,250.0,514.6427,264.6427,566.7688,316.7688,566.7688,316.7688,37269.254,38445.035,31590.982,33231.69,38208.125,38445.04,10577.843,1640.709,1175.7812,236.91406
C7,277769676,250.0,1257.0684,1007.06836,1239.7708,989.77075,1239.7708,989.77075,93583.555,106618.32,90241.234,108780.37,105808.875,106618.31,10612.847,18539.133,13034.773,809.4375
C7,1602222556,250.0,3027.234,2777.234,2604.0698,2354.0698,2604.0698,2354.0698,221551.73,344521.22,120984.79,414295.84,331657.94,344521.25,11029.133,293311.06,122969.5,12863.3125
