# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V4E2D5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=4, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C1,1774763047,250.0,389.69708,139.69708,359.6278,109.62781,359.6278,109.62781,4424.993,4794.861,4442.6074,5145.476,4774.861,4794.861,3155.5422,702.86914,369.86816,20.000488
C2,-506496402,250.0,807.93286,557.93286,724.66693,474.66693,724.66693,474.66693,8289.486,12318.844,5353.9707,13891.32,12066.632,12318.844,2278.5085,8537.35,4029.3574,252.21191
C2,-41169962,250.0,492.24442,242.24442,329.55072,79.55072,329.55072,79.55072,4045.0244,4289.901,4638.402,6608.5537,4231.749,4289.901,3091.4424,1970.1519,244.87646,58.15161
C3,2018695370,250.0,743.082,493.08197,733.1328,483.1328,733.1328,483.1328,6856.7695,11670.352,6021.9727,11838.479,11597.561,11670.352,2093.2239,5816.506,4813.582,72.791016
C2,1083428877,250.0,414.02457,164.02457,418.41254,168.41254,418.41254,168.41254,4435.6367,5360.668,3828.5618,5307.8994,5292.058,5360.668,2763.95,1479.3376,925.0315,68.60986
C1,298499967,250.0,442.53934,192.53934,351.52054,101.52054,351.52054,101.52054,4606.3726,4891.7207,4976.2627,6498.162,4830.9785,4891.7207,3075.7207,1521.8992,285.3479,60.741943
C1,-1264165101,250.0,438.88248,188.88248,387.8058,137.80579,387.8058,137.80579,4042.2507,5034.807,4425.2207,5881.643,4952.768,5034.807,2451.9727,1456.4224,992.5564,82.03906
C1,1316144193,250.0,587.9442,337.9442,572.75653,322.75653,572.75653,322.75653,7354.618,9693.895,5654.402,9940.291,9513.219,9693.894,2473.4795,4285.889,2339.2764,180.6748
C1,315415608,250.0,490.86484,240.86484,428.65408,178.65408,428.65408,178.65408,4299.313,4924.2007,4106.3984,5591.781,4880.45,4924.2007,2624.7842,1485.3823,624.8877,43.75049
C3,-187855682,250.0,624.6694,374.66937,444.15164,194.15164,444.15164,194.15164,6146.0034,7335.402,7614.335,10415.552,7286.709,7335.402,3323.3362,2801.2168,1189.3984,48.692627
C2,-1992587721,250.0,776.8878,526.8878,606.5858,356.58582,606.5858,356.58582,7667.677,11113.487,6698.555,14579.073,10865.305,11113.488,3233.8853,7880.5176,3445.8105,248.1836
C1,675187325,250.0,433.21646,183.21646,426.24042,176.24042,426.24042,176.24042,4464.538,5432.8633,3775.908,5594.5283,5313.9087,5432.8633,1933.6852,1818.6205,968.3252,118.95459
C2,1761766398,250.0,647.4746,397.4746,639.2474,389.24738,639.2474,389.24738,6372.4443,8701.05,5464.9873,8811.525,8575.895,8701.05,3050.4785,3346.5383,2328.6055,125.15527
C2,630898849,250.0,547.1145,297.1145,452.1146,202.1146,452.1146,202.1146,5282.791,5535.255,4978.38,7014.988,5464.6494,5535.255,2663.475,2036.6079,252.46387,70.60547
C2,-2048043543,250.0,675.05066,425.05066,647.4085,397.4085,647.4085,397.4085,8704.152,12709.858,6866.687,13270.318,12448.148,12709.857,3222.7278,6403.632,4005.706,261.70898
C3,1380944539,250.0,664.35144,414.35144,467.4619,217.46191,467.4619,217.46191,6711.8174,7998.7646,7956.0166,11601.214,7934.3525,7998.7646,3471.9668,3645.1973,1286.9475,64.41211
C1,-443350544,250.0,601.4576,351.45758,448.48944,198.48944,448.48944,198.48944,5595.7085,6832.358,5621.263,10410.388,6669.651,6832.3584,2602.415,4789.1245,1236.6497,162.70752
C1,66651665,250.0,420.2686,170.26859,378.83124,128.83124,378.83124,128.83124,5312.98,6136.317,4700.9062,6884.99,6034.882,6136.317,3311.7625,2184.0842,823.33716,101.4353
C1,-1385530526,250.0,446.36618,196.36618,412.35565,162.35565,412.35565,162.35565,4777.4077,6102.405,4706.378,6773.4307,6005.468,6102.4053,2917.9082,2067.0527,1324.9971,96.93701
C1,-1040023681,250.0,422.32928,172.32928,407.44064,157.44064,407.44064,157.44064,3042.656,3521.5337,2861.498,3653.9106,3460.1821,3521.5337,1877.461,792.4126,478.8777,61.351562
C1,1909811994,250.0,464.54303,214.54303,360.22955,110.22955,360.22955,110.22955,4266.7886,4608.99,4377.9478,6456.742,4549.974,4608.99,2445.9973,2078.7942,342.2019,59.016357
C1,-463642527,250.0,417.62546,167.62546,344.7033,94.70331,344.7033,94.70331,3640.6128,3783.0146,3927.583,4651.907,3764.6387,3783.0146,2736.611,724.3242,142.40161,18.375977
C2,481889107,250.0,804.5699,554.5699,478.40637,228.40637,478.40637,228.40637,5638.3594,7477.586,6595.4443,14463.868,7258.5024,7477.586,2807.9966,7868.424,1839.2268,219.0835
C1,1466068709,250.0,395.78406,145.78406,328.7144,78.714386,328.7144,78.714386,4115.457,4248.2827,4234.221,4877.4795,4227.181,4248.2827,3397.762,643.2583,132.82568,21.101562
C1,542933640,250.0,439.21097,189.21097,354.83353,104.83353,354.83353,104.83353,4318.988,4559.543,4482.926,5757.4517,4512.8027,4559.5425,3046.3853,1274.5261,240.55542,46.739746
C1,-31587717,250.0,511.1151,261.1151,349.86795,99.86795,349.86795,99.86795,3615.667,3914.9854,3878.1416,6120.571,3866.6592,3914.9858,2680.46,2242.4292,299.3181,48.32666
C1,-1608197371,250.0,757.36316,507.36316,724.46814,474.46814,724.46814,474.46814,9220.879,14311.347,7769.5674,15070.917,14046.314,14311.348,3362.413,7301.3496,5090.468,265.0332
C1,-806685258,250.0,444.8258,194.8258,441.18747,191.18747,441.18747,191.18747,5035.593,6083.8643,4418.6445,6133.5864,5996.6006,6083.8643,2410.4392,1714.9419,1048.2715,87.26367
C3,1337272588,250.0,615.7187,365.7187,611.6928,361.6928,611.6928,361.6928,8153.6367,10715.201,6868.177,10796.172,10645.551,10715.201,3586.1628,3927.9949,2561.5645,69.65039
C2,1134486876,250.0,563.98505,313.98505,574.3794,324.3794,574.3794,324.3794,6276.664,8342.379,5411.7686,8171.8457,8202.741,8342.379,2750.8257,2760.0771,2065.7148,139.6377
C1,408405954,250.0,473.81766,223.81766,377.3801,127.3801,377.3801,127.3801,4888.487,5497.291,4708.144,6770.148,5439.647,5497.291,3336.5342,2062.004,608.8042,57.644287
C2,707954076,250.0,474.20526,224.20526,334.29266,84.29266,334.29266,84.29266,3501.4578,3892.2134,3827.9375,6362.3643,3848.7324,3892.2134,2206.7979,2534.4268,390.7556,43.480957
C2,698709310,250.0,580.7967,330.7967,566.2931,316.2931,566.2931,316.2931,5295.287,6847.5435,4785.6797,7133.3374,6781.4644,6847.5425,2355.0852,2347.6575,1552.2561,66.078125
C1,286052801,250.0,397.58694,147.58694,346.03336,96.033356,346.03336,96.033356,2837.4998,2950.7158,2895.8994,3510.965,2932.1152,2950.7158,1905.0979,615.0657,113.216064,18.600586
C2,-190541709,250.0,652.7452,402.74518,615.9042,365.90417,615.9042,365.90417,7813.6797,10960.025,6397.0054,12005.856,10638.124,10960.025,2954.9177,5608.8506,3146.3457,321.90137
C1,-763205672,250.0,731.46375,481.46375,586.54974,336.54974,586.54974,336.54974,5464.2104,7775.3013,4404.528,10457.17,7562.2334,7775.3013,2305.1602,6052.642,2311.0908,213.06787
C1,-1512022076,250.0,733.13153,483.13153,657.18976,407.18976,657.18976,407.18976,11571.473,14303.826,8387.81,16288.488,14060.189,14303.827,4071.3076,7900.6787,2732.3535,243.63672
C3,-2041392862,250.0,810.1549,560.1549,808.96387,558.96387,808.96387,558.96387,8857.522,12519.389,7620.488,12544.801,12443.547,12519.389,2992.677,4924.3135,3661.8662,75.8418
C2,-1124915830,250.0,405.94226,155.94226,384.33112,134.33112,384.33112,134.33112,4264.933,4884.539,4360.8877,5161.74,4853.484,4884.539,2852.2144,800.85254,619.60596,31.055176
C1,174823762,250.0,392.58615,142.58615,385.61658,135.61658,385.61658,135.61658,3778.957,4255.0093,3542.9119,4344.572,4189.3193,4255.0093,2118.6443,801.6599,476.05225,65.68994
C3,-1668190253,250.0,649.1326,399.13263,643.42224,393.42224,643.42224,393.42224,8110.4004,11325.593,7119.2354,11437.266,11256.522,11325.594,2703.7585,4318.0303,3215.1924,69.07129
C2,1799436767,250.0,456.28305,206.28305,353.1751,103.17511,353.1751,103.17511,3396.513,3712.633,3372.547,4953.054,3675.4495,3712.6333,2043.7938,1580.5068,316.12012,37.183838
C2,-1555590367,250.0,766.56,516.56,644.6695,394.6695,644.6695,394.6695,8129.9746,11417.744,6831.405,14073.698,11185.124,11417.744,2749.2434,7242.294,3287.7695,232.62012
C1,650433521,250.0,467.25974,217.25974,472.88986,222.88986,472.88986,222.88986,7242.231,8636.321,5842.0073,8505.111,8508.109,8636.321,3366.5808,2663.1038,1394.0901,128.21191
C2,-648533003,250.0,405.6068,155.60681,320.3001,70.30011,320.3001,70.30011,3265.353,3394.975,3604.0767,4502.0625,3346.9614,3394.975,2667.7842,897.98584,129.62207,48.01367
C3,412928697,250.0,775.3946,525.3946,527.77985,277.77985,527.77985,277.77985,7946.546,11037.247,8398.814,16164.45,10920.116,11037.247,3364.3577,7765.6357,3090.7012,117.13086
C1,952822115,250.0,680.1195,430.1195,420.90918,170.90918,420.90918,170.90918,4927.853,5803.969,5597.2896,11039.268,5602.8633,5803.969,2705.7651,5441.9775,876.11597,201.10571
C3,-1720755923,250.0,786.611,536.611,780.0524,530.0524,780.0524,530.0524,8746.282,14135.233,9024.769,14271.172,14059.945,14135.234,3655.4333,5246.403,5388.95,75.28906
