# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D10.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=10.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,1039.114,789.114,1011.2018,761.2018,1011.2018,761.2018,80809.41,91040.055,76206.5,94491.32,90381.16,91040.055,10262.42,18284.82,10230.648,658.89844
C12,-506496402,250.0,4348.795,4098.795,1806.7231,1556.7231,1806.7231,1556.7231,225157.11,298257.34,489575.22,833650.56,296952.5,298257.34,13037.475,344075.3,73100.234,1304.8438
C8,-41169962,250.0,1135.8513,885.8513,747.5362,497.5362,747.5362,497.5362,64202.348,71080.734,93791.29,117664.2,70607.914,71080.734,14263.496,23872.906,6878.3867,472.8203
C7,2018695370,250.0,940.2334,690.2334,608.85114,358.85114,608.85114,358.85114,40902.953,46462.234,63438.156,83068.516,46129.18,46462.234,11600.732,19630.36,5559.2793,333.0547
C7,1083428877,250.0,1366.8901,1116.8901,1020.4258,770.4258,1020.4258,770.4258,71455.33,81729.1,90620.1,115462.19,81079.33,81729.1,11708.223,24842.094,10273.77,649.7656
C2,298499967,250.0,1616.7855,1366.7855,1187.409,937.40906,1187.409,937.40906,77984.63,124198.5,52646.082,179034.28,120410.305,124198.51,12320.774,126388.19,46213.867,3788.2031
C3,-1264165101,250.0,2023.1256,1773.1256,2056.3396,1806.3396,2056.3396,1806.3396,103394.65,274539.62,46147.05,269525.03,267706.97,274539.62,12109.252,223377.98,171144.98,6832.6562
C2,1316144193,250.0,1062.1063,812.1063,316.5901,66.59009,316.5901,66.59009,20241.084,20261.941,120296.84,130603.38,20251.943,20261.941,13620.892,10306.539,20.856445,9.99707
C1,315415608,250.0,882.72925,632.72925,756.9142,506.91418,756.9142,506.91418,42838.445,62700.465,30812.352,76680.36,60125.723,62700.465,13012.844,45868.008,19862.021,2574.746
C10,-187855682,250.0,763.8689,513.8689,594.1303,344.1303,594.1303,344.1303,41292.758,43260.016,54837.02,61206.21,43058.285,43260.02,11212.031,6369.1914,1967.2578,201.73438
