# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D0.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=0.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C3,1774763047,250.0,495.5625,245.5625,376.6911,126.6911,26400.488,27438.191,39655.83,36332.06,14811.86,14811.861,14811.861,3323.7695,1037.7021
C12,-506496402,250.0,2174.9614,1924.9614,1907.2704,1657.2704,251818.17,330767.2,388460.34,248479.47,14485.567,14485.564,14485.566,139980.88,78949.016
C8,-41169962,250.0,1062.2682,812.2682,846.06885,596.06885,73364.47,84101.27,109406.516,88651.02,15825.867,15825.867,15825.871,20755.492,10736.805
C7,2018695370,250.0,740.1062,490.1062,612.7542,362.7542,47757.633,54738.844,70179.414,53380.684,14346.42,14346.419,14346.42,16798.73,6981.215
C7,1083428877,250.0,761.34125,511.34125,506.8506,256.8506,30226.764,33057.188,56294.715,45528.83,12024.421,12024.422,12024.421,10765.887,2830.4219
C2,298499967,250.0,813.5995,563.5995,782.3639,532.3639,54723.7,81973.9,86017.56,35425.656,15809.289,15809.289,15809.291,50591.906,27250.2
C3,-1264165101,250.0,1167.665,917.66504,1140.2642,890.26416,64117.56,140708.78,144310.6,44170.242,15022.094,15022.093,15022.093,100140.35,76591.22
C2,1316144193,250.0,656.8949,406.8949,617.1774,367.17743,58265.168,59996.3,66176.45,62488.277,13986.153,13986.151,13986.153,3688.1758,1731.1328
C1,315415608,250.0,681.6012,431.6012,665.06323,415.06323,40562.18,63262.09,65056.375,35258.52,17049.104,17049.104,17049.102,29797.855,22699.908
C10,-187855682,250.0,723.66455,473.66455,447.5459,197.5459,34645.88,35826.52,65113.77,59352.273,15114.417,15114.416,15114.416,5761.492,1180.6426
C4,-1992587721,250.0,866.9861,616.9861,642.4615,392.4615,46752.168,61608.57,90210.984,38211.297,15085.282,15085.284,15085.282,51999.688,14856.398
C10,675187325,250.0,1007.30334,757.30334,765.7466,515.7466,73247.31,79370.234,106264.77,93216.87,16448.824,16448.824,16448.824,13047.906,6122.922
C4,1761766398,250.0,960.47034,710.47034,409.50366,159.50366,28956.967,30264.848,88632.91,61031.496,14380.173,14380.172,14380.172,27601.41,1307.8818
C13,630898849,250.0,606.4718,356.4718,588.78455,338.78455,43792.22,46641.574,48636.266,44416.066,11991.582,11991.582,11991.58,4220.1973,2849.3555
C9,-2048043543,250.0,537.1958,287.1958,475.0666,225.06659,42575.074,44068.355,50891.53,48147.336,18604.018,18604.018,18604.018,2744.1953,1493.2812
C5,1380944539,250.0,691.7755,441.7755,644.0429,394.0429,44708.266,51854.445,56247.71,45735.445,15143.61,15143.612,15143.612,10512.266,7146.176
C1,-443350544,250.0,1422.3707,1172.3707,381.9559,131.9559,31018.799,32083.453,209177.14,159023.23,15467.6875,15467.687,15467.687,50153.906,1064.6543
C9,66651665,250.0,848.05176,598.05176,585.2765,335.2765,51180.953,53965.992,87824.61,80923.65,14345.857,14345.857,14345.857,6900.961,2785.039
C10,-1385530526,250.0,1161.3846,911.38464,1145.3971,895.3971,113066.43,135608.78,138042.52,111726.555,15568.042,15568.042,15568.042,26315.96,22542.352
C3,-1040023681,250.0,1041.5094,791.5094,894.9708,644.9708,70888.33,91028.57,109610.92,59853.65,12785.001,12785.0,12785.001,49757.273,20140.242
C7,1909811994,250.0,476.28314,226.28314,474.54718,224.54718,34022.473,35833.266,36030.594,34025.68,13874.41,13874.41,13874.411,2004.9141,1810.793
C1,-463642527,250.0,1488.2163,1238.2163,1452.3275,1202.3275,90021.49,174623.39,179647.2,61939.938,11970.995,11970.995,11970.995,117707.266,84601.89
C3,481889107,250.0,1302.8677,1052.8677,745.71173,495.71173,48059.066,70754.086,134267.2,36665.926,15864.066,15864.067,15864.067,97601.27,22695.02
C1,1466068709,250.0,1037.0005,787.0005,524.1753,274.1753,33080.297,42054.75,95673.016,39259.586,14872.309,14872.309,14872.309,56413.426,8974.453
C1,542933640,250.0,768.0177,518.0177,599.6761,349.6761,51938.586,57673.473,80203.0,64781.746,16248.229,16248.228,16248.228,15421.254,5734.8867
C2,-31587717,250.0,721.20654,471.20654,624.2639,374.26392,34636.65,47302.953,55687.797,28680.516,13906.289,13906.288,13906.286,27007.277,12666.305
