# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D50.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=50.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C3,1774763047,250.0,1925.9833,1675.9833,2179.4905,1929.4905,190207.06,211113.06,181579.25,148179.06,7395.346,7395.346,7395.3457,33400.188,20906.0
C12,-506496402,250.0,4584.06,4334.06,4261.204,4011.204,501330.16,662187.8,725088.5,453908.53,8370.188,8370.188,8370.188,271179.97,160857.66
C8,-41169962,250.0,2799.8594,2549.8594,1747.1198,1497.1198,143346.9,162247.11,290537.94,228591.34,8466.484,8466.485,8466.484,61946.58,18900.203
C7,2018695370,250.0,1976.1067,1726.1067,2128.2234,1878.2234,147581.83,188764.38,173994.67,120920.086,8289.45,8289.45,8289.45,53074.586,41182.547
C7,1083428877,250.0,3043.87,2793.87,3092.0798,2842.0798,220963.52,265232.38,260602.52,193904.45,7736.1787,7736.179,7736.178,66698.06,44268.86
C2,298499967,250.0,3074.6943,2824.6943,3382.2605,3132.2605,202527.34,368969.06,329855.5,74104.98,8008.0024,8008.0024,8008.0034,255750.53,166441.72
C3,-1264165101,250.0,4052.2783,3802.2783,4194.2695,3944.2695,211603.9,546288.25,524746.56,70286.39,7778.4224,7778.422,7778.423,454460.16,334684.3
C2,1316144193,250.0,3174.791,2924.791,610.09467,360.09467,36260.926,36787.273,432938.75,394766.3,7893.221,7893.221,7893.2217,38172.438,526.34766
C1,315415608,250.0,1589.0562,1339.0562,1861.0134,1611.0134,86763.75,166649.75,136884.92,37729.63,7602.1694,7602.169,7602.1694,99155.29,79886.0
C10,-187855682,250.0,1555.4072,1305.4072,1696.4391,1446.4391,133062.02,145096.17,129526.695,112961.6,8008.516,8008.515,8008.5156,16565.094,12034.156
C4,-1992587721,250.0,3185.0898,2935.0898,2884.9194,2634.9194,182533.14,294149.84,328115.38,78290.086,8455.302,8455.302,8455.302,249825.28,111616.69
C10,675187325,250.0,2503.6255,2253.6255,2608.6753,2358.6753,226961.31,268722.38,255286.0,206957.0,8531.223,8531.224,8531.223,48329.0,41761.062
C4,1761766398,250.0,1803.5653,1553.5653,1649.6992,1399.6992,107057.0,130676.98,147080.78,89221.15,8776.699,8776.699,8776.699,57859.625,23619.984
C13,630898849,250.0,1690.577,1440.577,1904.2399,1654.2399,149623.47,173397.8,149871.88,127759.625,7945.634,7945.633,7945.633,22112.258,23774.328
C9,-2048043543,250.0,1654.4407,1404.4407,1840.2267,1590.2267,151639.22,164326.69,145134.55,131110.14,9408.612,9408.612,9408.612,14024.406,12687.469
C5,1380944539,250.0,1715.433,1465.433,1387.8365,1137.8365,91068.44,113881.99,147045.27,101950.61,8810.115,8810.114,8810.114,45094.664,22813.555
C1,-443350544,250.0,5844.2964,5594.2964,3021.031,2771.031,358638.38,402449.25,892235.44,622767.6,7048.483,7048.4824,7048.482,269467.8,43810.875
C9,66651665,250.0,2215.3462,1965.3462,1880.9276,1630.9276,169655.31,182907.16,228914.38,200862.53,7145.1445,7145.145,7145.145,28051.844,13251.844
C10,-1385530526,250.0,6666.0845,6416.0845,6297.418,6047.418,644956.44,829931.75,885141.25,649276.6,8879.897,8879.898,8879.898,235864.62,184975.31
C3,-1040023681,250.0,3248.9265,2998.9265,2941.3948,2691.3948,238172.88,318089.7,356075.03,148959.62,7703.1724,7703.1733,7703.1733,207115.39,79916.8
C7,1909811994,250.0,1541.467,1291.467,1695.6934,1445.6934,139003.55,152459.34,135369.38,119009.95,8071.0537,8071.0537,8071.0537,16359.422,13455.805
C1,-463642527,250.0,5371.347,5121.347,5259.904,5009.904,312668.7,646024.25,661144.44,165081.9,7523.4546,7523.454,7523.4546,496062.56,333355.6
C3,481889107,250.0,2456.8647,2206.8647,2780.2383,2530.2383,164976.11,283412.5,245599.39,49909.04,8507.997,8507.997,8507.998,195690.34,118436.39
