# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D1.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=1.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C3,1774763047,250.0,647.7943,397.7943,628.3126,378.31262,54482.203,59423.93,61868.086,54033.15,14513.473,14513.473,14513.472,7834.9375,4941.7266
C12,-506496402,250.0,1581.2655,1331.2655,1571.5273,1321.5273,195028.94,253472.94,255412.73,176646.55,15145.544,15145.544,15145.544,78766.19,58444.0
C8,-41169962,250.0,894.0693,644.0693,633.8875,383.8875,50943.52,56539.277,88093.016,74137.95,14128.837,14128.837,14128.836,13955.0625,5595.758
C7,2018695370,250.0,681.2901,431.2901,526.5989,276.59888,39357.156,44233.555,62601.332,50048.383,14395.886,14395.886,14395.886,12552.949,4876.3984
C7,1083428877,250.0,1197.146,947.146,816.61523,566.61523,57337.426,65603.84,105203.8,80951.37,13528.273,13528.273,13528.273,24252.43,8266.418
C2,298499967,250.0,1030.6031,780.60315,1002.52985,752.52985,68680.93,106209.44,109459.81,38573.457,14670.942,14670.942,14670.941,70886.35,37528.504
C3,-1264165101,250.0,1029.6503,779.65027,785.44366,535.44366,47371.14,87009.27,121697.97,37103.066,14441.365,14441.367,14441.367,84594.91,39638.133
C2,1316144193,250.0,1019.69904,769.69904,254.35637,4.356369,14040.361,14042.484,136843.1,129185.516,13618.241,13618.242,13618.241,7657.578,2.1220703
C1,315415608,250.0,690.7631,440.76312,673.7265,423.7265,45667.824,66288.945,68233.664,39151.09,18480.098,18480.1,18480.1,29082.572,20621.117
C10,-187855682,250.0,747.6862,497.68622,651.1703,401.1703,45993.027,50170.23,58768.715,52278.67,12587.047,12587.047,12587.047,6490.043,4177.203
C4,-1992587721,250.0,1370.9584,1120.9584,646.99023,396.99023,41885.047,52932.637,148562.56,40656.168,13264.897,13264.897,13264.898,107906.41,11047.59
C10,675187325,250.0,1126.8435,876.8435,1123.0079,873.00793,99252.875,115906.516,116356.14,96330.62,16350.053,16350.053,16350.053,20025.523,16653.64
C4,1761766398,250.0,648.5831,398.58313,485.02795,235.02795,34247.805,37097.008,53325.22,42238.207,15499.824,15499.823,15499.826,11087.014,2849.2031
C13,630898849,250.0,489.45535,239.45535,489.45535,239.45535,32003.523,33636.246,33636.246,31980.908,12723.939,12723.94,12723.938,1655.3359,1632.7207
C9,-2048043543,250.0,628.1722,378.17218,440.9621,190.9621,35246.41,36463.742,55659.125,52917.145,17177.275,17177.275,17177.275,2741.9844,1217.332
C5,1380944539,250.0,642.9763,392.97632,568.2698,318.26978,40747.465,45992.953,53599.684,44177.344,15545.5625,15545.563,15545.563,9422.34,5245.4883
C1,-443350544,250.0,1586.289,1336.289,765.52936,515.52936,85639.42,91765.5,230245.64,172549.84,15336.953,15336.955,15336.953,57695.797,6126.078
C9,66651665,250.0,1398.0566,1148.0566,550.2733,300.27332,39210.734,42145.383,161281.89,139294.73,12529.18,12529.18,12529.18,21987.164,2934.6484
C10,-1385530526,250.0,1977.4106,1727.4106,1977.2072,1727.2072,200541.17,250677.84,250708.4,192979.11,14618.812,14618.812,14618.812,57729.297,50136.67
C3,-1040023681,250.0,1306.7413,1056.7413,915.4897,665.4897,74457.87,90605.336,137429.36,69094.34,14847.11,14847.11,14847.11,68335.016,16147.469
C7,1909811994,250.0,433.78436,183.78436,411.4819,161.4819,27742.145,28371.816,30428.855,29382.684,14245.741,14245.741,14245.741,1046.1719,629.6719
C1,-463642527,250.0,1623.8005,1373.8005,1603.8623,1353.8623,102036.664,201442.19,204367.33,68978.305,13719.227,13719.227,13719.227,135389.02,99405.53
C3,481889107,250.0,1099.8735,849.87354,1014.58636,764.58636,67771.67,111505.62,122217.125,36140.25,15714.2705,15714.2705,15714.271,86076.875,43733.94
C1,1466068709,250.0,995.33405,745.33405,839.9093,589.9093,48739.39,70768.82,88566.11,38188.566,15954.634,15954.634,15954.634,50377.543,22029.43
C1,542933640,250.0,651.2279,401.2279,645.1776,395.1776,53405.99,58770.6,59687.977,50057.64,13857.62,13857.62,13857.618,9630.332,5364.6133
C2,-31587717,250.0,734.8844,484.8844,728.1452,478.1452,41621.36,61192.805,61890.92,28735.303,14901.696,14901.697,14901.698,33155.62,19571.445
C3,-1608197371,250.0,910.7635,660.7635,891.0461,641.0461,86973.41,99707.234,102415.086,75733.3,15916.322,15916.322,15916.32,26681.79,12733.828
C2,-806685258,250.0,2401.1562,2151.1562,2296.1836,2046.1836,173418.47,413935.78,436643.78,74464.2,13303.882,13303.882,13303.882,362179.6,240517.31
C1,1337272588,250.0,1691.6245,1441.6245,1508.9547,1258.9547,122515.49,233703.08,271411.06,54579.664,15096.466,15096.466,15096.466,216831.39,111187.586
C3,1134486876,250.0,658.40344,408.40344,612.2513,362.25128,33624.754,45603.625,49664.58,24197.602,13265.38,13265.382,13265.382,25466.977,11978.867
C3,408405954,250.0,824.43665,574.43665,652.37854,402.37854,43882.73,60196.07,81969.78,35481.7,12954.672,12954.672,12954.672,46488.082,16313.34
C11,707954076,250.0,890.30884,640.30884,510.31656,260.31656,37004.332,41078.742,87082.016,68410.26,12960.07,12960.07,12960.07,18671.758,4074.4102
C3,698709310,250.0,1110.6748,860.6748,768.8842,518.8842,48589.574,66109.625,111687.48,30564.195,13772.238,13772.238,13772.238,81123.28,17520.05
C7,286052801,250.0,873.1712,623.1712,839.47986,589.47986,89338.305,98213.39,103026.49,88124.7,15144.828,15144.828,15144.828,14901.789,8875.086
C6,-190541709,250.0,744.01196,494.01196,726.869,476.86902,48972.95,60808.39,62646.23,46537.13,14104.3955,14104.396,14104.395,16109.102,11835.4375
C14,-763205672,250.0,739.3481,489.34808,500.88553,250.88553,33469.41,36117.465,58076.13,47299.02,12527.354,12527.352,12527.354,10777.113,2648.0566
C2,-1512022076,250.0,423.09143,173.09143,354.56134,104.56134,23587.98,23876.355,30463.268,29607.703,14559.765,14559.763,14559.764,855.5654,288.37695
C8,-2041392862,250.0,1732.2003,1482.2003,1711.736,1461.736,129247.234,259462.14,263211.12,107255.766,17423.32,17423.32,17423.32,155955.38,130214.9
C4,-1124915830,250.0,1395.0176,1145.0176,778.914,528.914,65948.96,88209.086,181268.8,57731.66,15836.58,15836.58,15836.581,123537.14,22260.125
C13,174823762,250.0,482.974,232.974,440.63348,190.63348,29451.176,30609.588,35209.12,33353.89,12605.378,12605.378,12605.378,1855.2305,1158.4141
C3,-1668190253,250.0,1181.8657,931.8657,649.3317,399.33173,50990.496,60874.867,129073.97,53361.023,16651.756,16651.754,16651.756,75712.95,9884.371
C9,1799436767,250.0,1151.4595,901.4595,1147.5239,897.5239,102066.586,133258.73,133780.66,95979.125,15087.941,15087.94,15087.94,37801.53,31192.156
C2,-1555590367,250.0,774.4928,524.4928,641.0285,391.0285,45303.51,54935.83,68518.88,40113.055,14032.76,14032.761,14032.761,28405.828,9632.314
