# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D0.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=0.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,495.5625,245.5625,376.6911,126.6911,376.6911,126.6911,26400.488,27438.191,36332.055,39655.82,27438.191,27438.191,14811.86,3323.7656,1037.7031,9.765625E-4
C12,-506496402,250.0,2174.9614,1924.9614,1907.2704,1657.2704,1907.2704,1657.2704,251818.17,330767.16,248479.45,388460.38,330767.16,330767.16,14485.567,139980.92,78948.984,0.0
C8,-41169962,250.0,1062.2682,812.2682,846.06885,596.06885,846.06885,596.06885,73364.47,84101.27,88651.04,109406.52,84101.27,84101.27,15825.869,20755.484,10736.809,0.0
C7,2018695370,250.0,740.1062,490.1062,612.7542,362.7542,612.7542,362.7542,47757.633,54738.84,53380.684,70179.414,54738.844,54738.84,14346.42,16798.73,6981.207,0.0
C7,1083428877,250.0,761.34125,511.34125,506.8506,256.8506,506.8506,256.8506,30226.764,33057.184,45528.83,56294.707,33057.188,33057.184,12024.421,10765.879,2830.418,-0.00390625
C2,298499967,250.0,813.5995,563.5995,782.3639,532.3639,782.3639,532.3639,54723.7,81973.89,35425.656,86017.56,81973.89,81973.89,15809.289,50591.906,27250.191,0.0
C3,-1264165101,250.0,1167.665,917.66504,1140.2642,890.26416,1140.2642,890.26416,64117.56,140708.78,44170.242,144310.6,140708.78,140708.77,15022.093,100140.35,76591.22,-0.015625
C2,1316144193,250.0,656.8949,406.8949,617.1774,367.17743,617.1774,367.17743,58265.168,59996.3,62488.277,66176.46,59996.3,59996.3,13986.151,3688.1836,1731.1328,0.0
C1,315415608,250.0,681.6012,431.6012,665.06323,415.06323,665.06323,415.06323,40562.17,63262.09,35258.52,65056.375,63262.086,63262.09,17049.102,29797.857,22699.918,0.00390625
C10,-187855682,250.0,723.66455,473.66455,447.5459,197.5459,447.5459,197.5459,34645.875,35826.523,59352.273,65113.77,35826.52,35826.523,15114.418,5761.492,1180.6484,0.00390625
C4,-1992587721,250.0,866.9861,616.9861,642.4615,392.4615,642.4615,392.4615,46752.176,61608.574,38211.297,90210.99,61608.574,61608.574,15085.282,51999.695,14856.398,0.0
C10,675187325,250.0,1007.30334,757.30334,765.7466,515.7466,765.7466,515.7466,73247.31,79370.234,93216.87,106264.79,79370.234,79370.234,16448.824,13047.922,6122.922,0.0
C4,1761766398,250.0,960.47034,710.47034,409.50366,159.50366,409.50366,159.50366,28956.965,30264.85,61031.496,88632.914,30264.85,30264.85,14380.173,27601.418,1307.8848,-9.765625E-4
C13,630898849,250.0,606.4718,356.4718,588.78455,338.78455,588.78455,338.78455,43792.22,46641.574,44416.066,48636.266,46641.574,46641.574,11991.58,4220.203,2849.3555,0.0
C9,-2048043543,250.0,537.1958,287.1958,475.0666,225.06659,475.0666,225.06659,42575.074,44068.355,48147.332,50891.527,44068.355,44068.355,18604.02,2744.1934,1493.2793,-0.001953125
C5,1380944539,250.0,691.7755,441.7755,644.0429,394.0429,644.0429,394.0429,44708.266,51854.44,45735.45,56247.71,51854.44,51854.438,15143.61,10512.266,7146.176,0.0
C1,-443350544,250.0,1422.3707,1172.3707,381.9559,131.9559,381.9559,131.9559,31018.803,32083.453,159023.23,209177.11,32083.45,32083.453,15467.6875,50153.875,1064.6494,0.00390625
C9,66651665,250.0,848.05176,598.05176,585.2765,335.2765,585.2765,335.2765,51180.945,53965.984,80923.65,87824.61,53965.992,53965.992,14345.857,6900.961,2785.039,0.0
C10,-1385530526,250.0,1161.3846,911.38464,1145.3971,895.3971,1145.3971,895.3971,113066.42,135608.77,111726.555,138042.53,135608.77,135608.77,15568.042,26315.977,22542.344,0.0
C3,-1040023681,250.0,1041.5094,791.5094,894.9708,644.9708,894.9708,644.9708,70888.32,91028.555,59853.65,109610.92,91028.56,91028.57,12785.001,49757.273,20140.234,0.0078125
C7,1909811994,250.0,476.28314,226.28314,474.54718,224.54718,474.54718,224.54718,34022.47,35833.266,34025.676,36030.594,35833.266,35833.266,13874.411,2004.918,1810.7969,0.0
C1,-463642527,250.0,1488.2163,1238.2163,1452.3275,1202.3275,1452.3275,1202.3275,90021.49,174623.39,61939.938,179647.2,174623.38,174623.39,11970.995,117707.266,84601.9,0.015625
C3,481889107,250.0,1302.8677,1052.8677,745.71173,495.71173,745.71173,495.71173,48059.066,70754.09,36665.926,134267.22,70754.09,70754.09,15864.065,97601.3,22695.027,0.0
C1,1466068709,250.0,1037.0005,787.0005,524.1753,274.1753,524.1753,274.1753,33080.3,42054.758,39259.586,95673.016,42054.75,42054.75,14872.309,56413.426,8974.457,0.0
C1,542933640,250.0,768.0177,518.0177,599.6761,349.6761,599.6761,349.6761,51938.594,57673.477,64781.746,80203.0,57673.47,57673.473,16248.228,15421.254,5734.883,0.00390625
C2,-31587717,250.0,721.20654,471.20654,624.2639,374.26392,624.2639,374.26392,34636.65,47302.953,28680.516,55687.793,47302.953,47302.953,13906.288,27007.277,12666.301,0.0
C3,-1608197371,250.0,944.75854,694.75854,321.33096,71.33096,321.33096,71.33096,21280.895,21760.465,77901.65,104719.93,21760.465,21760.465,15267.118,26818.281,479.5713,9.765625E-4
C2,-806685258,250.0,1603.2283,1353.2283,1314.3756,1064.3756,1314.3756,1064.3756,104482.81,210094.22,67826.94,273006.25,210094.22,210094.22,14783.05,205179.31,105611.41,0.0
C1,1337272588,250.0,1846.8977,1596.8977,1658.0321,1408.0321,1658.0321,1408.0321,140406.33,287638.75,63093.23,330840.88,287638.75,287638.75,17407.938,267747.66,147232.42,0.0
C3,1134486876,250.0,884.262,634.262,507.10587,257.10587,507.10587,257.10587,29348.38,37694.656,28815.934,73306.38,37694.656,37694.656,13369.439,44490.453,8346.274,0.0
C3,408405954,250.0,940.1123,690.1123,906.08594,656.08594,906.08594,656.08594,58008.76,88076.93,33615.086,92831.875,88076.94,88076.93,12611.86,59216.79,30068.168,-0.0078125
C11,707954076,250.0,767.36725,517.36725,636.5347,386.53473,636.5347,386.53473,50276.22,54990.582,63580.99,73446.97,54990.582,54990.582,13270.5205,9865.98,4714.367,0.0
C3,698709310,250.0,1658.2048,1408.2048,683.95764,433.95764,683.95764,433.95764,43036.227,60218.582,39892.785,169844.64,60218.586,60218.582,13662.399,129951.84,17182.355,-0.00390625
C7,286052801,250.0,1081.2188,831.21875,1062.6107,812.6107,1062.6107,812.6107,112411.67,124518.875,108968.664,127417.484,124518.875,124518.89,15403.015,18448.82,12107.203,0.015625
C6,-190541709,250.0,642.6215,392.62152,638.9315,388.93152,638.9315,388.93152,43750.695,50817.47,41474.53,51170.5,50817.46,50817.47,14244.571,9695.969,7066.7734,0.0078125
C14,-763205672,250.0,674.3252,424.3252,471.72128,221.72128,471.72128,221.72128,32441.879,33979.28,47683.06,54904.4,33979.28,33979.28,13994.547,7221.34,1537.4023,0.0
C2,-1512022076,250.0,360.99118,110.99118,349.31836,99.31836,349.31836,99.31836,23847.27,23916.47,24602.963,24943.785,23916.47,23916.47,15275.857,340.8213,69.200195,-9.765625E-4
C8,-2041392862,250.0,1326.9655,1076.9655,1232.37,982.37,1232.37,982.37,108001.766,191935.03,94209.6,210538.1,191935.03,191935.03,18578.283,116328.49,83933.266,0.0
C4,-1124915830,250.0,1162.9911,912.9911,1033.6088,783.60876,1033.6088,783.60876,85078.195,122419.9,59370.688,141989.8,122419.88,122419.89,15744.621,82619.11,37341.703,0.0
C13,174823762,250.0,438.81357,188.81357,400.01105,150.01105,400.01105,150.01105,29160.115,29983.748,32899.98,34172.434,29983.746,29983.748,14012.861,1272.4531,823.63477,0.001953125
C3,-1668190253,250.0,1488.0488,1238.0488,1462.9214,1212.9214,1462.9214,1212.9214,113856.516,167244.05,61459.535,170947.67,167244.03,167244.03,16711.65,109488.13,53387.523,0.0
C9,1799436767,250.0,889.0238,639.0238,771.1077,521.1077,771.1077,521.1077,66684.38,76524.32,72939.69,89933.02,76524.31,76524.32,15411.455,16993.336,9839.9375,0.01171875
C2,-1555590367,250.0,1028.2007,778.2007,686.57495,436.57495,686.57495,436.57495,50159.54,61628.66,52552.57,103992.875,61628.66,61628.664,14290.714,51440.31,11469.121,0.00390625
