# ExperimentSet [id=testFive02, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=50.0, nEdges=2, nNodes=4, runNumber=50, targetComponent=C1]
ReqTime, quiescenceTime, vcFreenessTime, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
250.0,1122.9271,517.3129,3809.5562,4956.9717,14943.553,6054.0933,1774.8433,2131.302,2131.302,8889.46,790.9568
250.0,1389.574,524.60095,4182.3174,7518.9404,20857.295,10093.163,1588.386,3071.7666,3071.7668,10764.131,1853.2424
250.0,1295.3278,490.16803,3879.0488,5360.706,18549.45,7652.292,2031.4397,2365.3262,2365.3262,10897.157,1147.7708
250.0,1237.55,376.7697,2264.4827,3449.1887,17250.934,6918.8516,1444.073,1807.9763,1807.9763,10332.082,820.80273
250.0,1508.9609,489.69034,3276.755,5214.164,22771.8,7764.461,1378.7926,2072.7542,2072.754,15007.34,1243.4476
250.0,1078.0007,550.4319,4464.825,7254.7793,15354.156,7789.6055,1720.0625,2389.6716,2389.6714,7564.5503,2120.3447
250.0,1175.4016,475.0149,3130.496,5165.6187,16763.502,7012.586,1491.6228,2016.4146,2016.4146,9750.916,1510.3308
250.0,1133.5078,283.80273,2082.663,2368.9626,17997.314,6581.6685,1847.9421,2051.2026,2051.2026,11415.6455,83.03906
250.0,1288.2511,575.7214,3986.103,7138.596,20521.154,6276.413,1439.1953,2163.5042,2163.5042,14244.741,2428.184
250.0,1532.1559,693.3088,5587.648,7969.5137,22778.758,7526.4673,1353.3771,1977.5999,1977.6001,15252.291,1757.6431
250.0,1062.967,276.09366,2013.9502,2202.2256,15483.134,6479.657,1868.5337,1928.9225,1928.9225,9003.477,127.8866
250.0,951.8681,565.3434,4458.7817,7081.635,13189.603,5618.428,1857.0352,2150.942,2150.9421,7571.174,2328.9463
250.0,920.668,517.59436,3078.725,4703.3086,10621.16,4804.947,1290.7406,1761.5978,1761.5978,5816.2134,1153.7264
250.0,1371.6323,395.60562,2044.7488,2968.6277,18731.914,6081.809,1235.0135,1482.981,1482.9808,12650.105,675.9115
250.0,1071.7668,507.9299,4005.3618,6934.902,16771.57,7160.062,1514.7284,2381.7627,2381.763,9611.509,2062.5059
250.0,1227.5205,513.8002,4324.3545,6892.6914,20102.389,9148.237,1508.7667,2213.9243,2213.9243,10954.152,1863.1792
250.0,1078.7837,549.8767,3491.2817,6047.921,14669.81,5928.4033,1559.5884,1779.8846,1779.8846,8741.406,2336.3428
250.0,1634.648,479.47995,3017.514,6269.02,26905.691,9737.446,1445.751,1974.9309,1974.931,17168.244,2722.326
250.0,1148.4814,250.0,1506.5007,1823.9991,16737.271,6538.324,1506.5007,1823.9991,1823.9991,10198.947,0.0
250.0,1249.6539,397.64178,2803.7268,4113.4795,18031.424,8172.4478,1650.0537,2256.79,2256.79,9858.977,703.01636
250.0,923.4441,445.0435,2971.4885,4372.8467,11790.207,4933.4844,1492.5684,2118.4976,2118.4976,6856.722,775.42896
250.0,1174.9521,508.59283,3781.1643,5196.1714,16859.8,6180.3545,1586.2539,2211.3242,2211.3242,10679.446,789.93677
250.0,1098.3439,510.59595,3750.556,6354.4673,17379.63,7062.6797,1437.5188,2095.3552,2095.3555,10316.951,1946.0752
250.0,1039.9973,479.88464,3495.0913,5418.3164,13772.73,6650.829,1494.6392,2148.127,2148.1272,7121.9014,1269.7373
250.0,1304.8955,317.05463,2058.9526,3109.562,17642.613,6219.225,1542.6023,2306.9102,2306.9102,11423.389,286.3015
250.0,1401.8123,565.0345,3619.2405,5887.2773,18157.031,6870.882,1387.6226,1874.3132,1874.3135,11286.149,1781.3462
250.0,1528.0013,289.38458,2005.9347,2776.3984,20329.13,7442.3438,1739.23,2377.9143,2377.9143,12886.787,131.77942
250.0,1327.4783,530.36005,3450.884,5763.0303,20292.0,6413.7524,1237.7349,1753.7145,1753.7146,13878.247,1796.1667
250.0,1237.4443,491.18536,3652.1594,4551.906,17476.312,6730.762,1428.7295,1626.6404,1626.6405,10745.551,701.83545
250.0,1303.8531,525.7964,3021.1494,5062.7397,17834.04,6655.2456,1364.9701,1920.6185,1920.6185,11178.794,1485.9418
250.0,1300.454,549.089,3721.2437,5601.761,15889.087,5829.924,1529.6747,2090.5647,2090.5645,10059.163,1319.6277
250.0,1017.3393,311.1015,1375.0098,2250.443,13826.85,5938.6084,958.4111,1493.1172,1493.1172,7888.241,340.72723
250.0,1250.4612,595.39343,4305.443,6646.587,15457.11,6205.5635,1367.183,1883.9077,1883.9077,9251.547,1824.4194
250.0,962.9353,287.85236,1578.3732,2046.4689,11877.41,5168.224,1287.4999,1485.1901,1485.1901,6709.1855,270.40552
