# ExperimentSet [id=testFive02, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=50.0, nEdges=2, nNodes=4, runNumber=50, targetComponent=C1]
ReqTime, quiescenceTime, vcFreenessTime, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
250.0,1231.5979,390.878,2530.8276,3945.9668,17764.412,7197.553,1338.9785,1966.0327,1966.0327,10566.858,788.08496
250.0,1273.3231,499.71292,3059.231,5760.166,17066.64,7265.559,1372.1216,2014.8468,2014.847,9801.082,2058.21
250.0,1092.104,505.9053,4725.9546,6851.0215,17523.33,8275.137,1854.4719,2735.4788,2735.4788,9248.193,1244.0603
250.0,885.5563,593.16693,3695.926,6768.427,11639.513,5993.6313,1245.5317,2037.3477,2037.3475,5645.8813,2280.6848
250.0,1175.5529,352.3696,2480.916,3235.766,15497.453,6037.322,1635.9655,1974.2166,1974.2167,9460.131,416.599
250.0,1348.103,418.9792,2768.762,4556.7646,18589.205,7502.7334,1389.5552,2103.217,2103.217,11086.472,1074.3408
250.0,1173.9774,555.69354,4158.918,7566.003,16845.916,7330.932,1607.0863,2291.869,2291.869,9514.983,2722.3022
250.0,968.4833,511.76645,3650.9521,5407.0195,12192.417,5627.0312,1573.8286,2047.4906,2047.4907,6565.386,1282.4053
250.0,900.05597,518.10657,4335.29,6076.966,10109.5205,6067.4487,1369.2642,1739.41,1739.4099,4042.0713,1371.5298
250.0,1367.3068,561.80054,4650.8145,7781.2124,20960.242,8418.691,1623.0474,2347.2246,2347.2246,12541.551,2406.2207
250.0,951.68176,535.2141,3680.1013,5407.3384,11032.762,5553.1084,1675.2898,1727.8809,1727.8809,5479.6533,1674.646
250.0,1236.1533,455.97052,2927.4905,4585.962,19164.012,6402.3574,1421.8629,1856.7422,1856.7423,12761.654,1223.5922
250.0,1335.3446,488.1089,3837.266,6713.6704,20761.762,8921.351,1724.4908,2691.2632,2691.2632,11840.41,1909.6318
250.0,1094.1495,523.9659,3264.8457,5303.826,14507.273,5994.6025,1356.6924,1504.2812,1504.2814,8512.671,1891.3916
250.0,1303.5017,722.04474,5531.426,8747.5,19015.02,7856.1465,1508.1145,1981.1887,1981.1887,11158.872,2743.0002
250.0,1221.0688,539.32227,4008.002,6757.184,18692.59,7180.267,1286.2819,2109.8608,2109.8608,11512.322,1925.603
