# ExperimentSet [id=resultsExperiments/timelinessDisruption/V4E2D_5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=4, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C1,-1385530526,250.0,446.36618,196.36618,412.35565,162.35565,4777.4077,6102.4053,6773.4316,4706.378,2917.9082,2917.9084,2917.9084,2067.0537,1324.9973
C1,-1040023681,250.0,422.32928,172.32928,407.44064,157.44064,3042.656,3521.5337,3653.9106,2861.498,1877.461,1877.461,1877.461,792.4126,478.8777
C1,1909811994,250.0,464.54303,214.54303,360.22955,110.22955,4266.789,4608.99,6456.742,4377.9478,2445.997,2445.997,2445.997,2078.7944,342.20117
C1,-463642527,250.0,417.62546,167.62546,344.7033,94.70331,3640.6128,3783.0146,4651.907,3927.583,2736.611,2736.6108,2736.6113,724.3247,142.4021
C2,481889107,250.0,804.5699,554.5699,478.40637,228.40637,5638.3594,7477.586,14463.868,6595.4443,2807.9968,2807.997,2807.9966,7868.4233,1839.2263
C1,1466068709,250.0,395.78406,145.78406,328.7144,78.714386,4115.4565,4248.283,4877.48,4234.221,3397.762,3397.762,3397.762,643.2588,132.82666
C1,542933640,250.0,439.21097,189.21097,354.83353,104.83353,4318.988,4559.5425,5757.4507,4482.926,3046.3853,3046.3853,3046.3853,1274.5249,240.55469
C1,-31587717,250.0,511.1151,261.1151,349.86795,99.86795,3615.667,3914.9854,6120.572,3878.1416,2680.4597,2680.46,2680.46,2242.4302,299.3181
C1,-1608197371,250.0,757.36316,507.36316,724.46814,474.46814,9220.879,14311.348,15070.916,7769.5674,3362.413,3362.413,3362.413,7301.3486,5090.4688
C1,-806685258,250.0,444.8258,194.8258,441.18747,191.18747,5035.593,6083.8643,6133.5864,4418.6445,2410.4392,2410.4392,2410.4392,1714.9419,1048.2715
C3,1337272588,250.0,615.7187,365.7187,611.6928,361.6928,8153.636,10715.201,10796.172,6868.177,3586.1628,3586.163,3586.1628,3927.9949,2561.5645
C2,1134486876,250.0,563.98505,313.98505,574.3794,324.3794,6276.664,8342.379,8171.8457,5411.7686,2750.8257,2750.8257,2750.8257,2760.0771,2065.7148
