# ExperimentSet [id=resultsExperiments/timelinessDisruption/scale4TargetC1, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=4, runNumber=50, targetComponent=C1]
Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
1774763047,250.0,404.43326,154.43326,428.93323,178.93323,4070.0024,5008.9727,4744.349,3715.6726,2602.754,2602.754,2602.754,1028.6765,938.9702
-506496402,250.0,598.43286,348.43286,546.2187,296.2187,6766.403,7681.8174,8427.049,5904.3643,3804.824,3804.824,3804.8237,2522.684,915.41455
-41169962,250.0,416.85632,166.85632,439.87573,189.87573,5030.222,5678.1035,5534.3433,4645.3994,3343.816,3343.8157,3343.8157,888.94385,647.8816
2018695370,250.0,555.8772,305.8772,565.0778,315.07782,4500.6484,6328.453,6169.974,3296.3674,2149.1987,2149.1987,2149.1987,2873.6067,1827.8047
1083428877,250.0,371.81128,121.81128,371.81128,121.81128,4257.1733,4307.0093,4307.0093,3957.5347,3075.4229,3075.4229,3075.4229,349.4746,49.835938
298499967,250.0,441.3002,191.3002,403.5843,153.58429,5525.9795,6004.3413,6520.985,5060.666,3554.2388,3554.2388,3554.2388,1460.3188,478.36182
-1264165101,250.0,414.07693,164.07693,391.63562,141.63562,3508.2122,4053.4043,4349.7153,3462.6904,2297.673,2297.673,2297.673,887.0249,545.19214
1316144193,250.0,582.0674,332.06738,621.29736,371.29736,5622.783,8605.567,7678.064,4333.213,2204.6765,2204.6765,2204.6763,3344.851,2982.784
315415608,250.0,431.7897,181.7897,395.0436,145.04361,4803.6064,5170.524,5481.9087,4792.1694,3215.3914,3215.3914,3215.3914,689.73926,366.91748
-187855682,250.0,418.2561,168.2561,463.13574,213.13574,4446.3643,5375.271,4696.668,3724.9688,2766.7927,2766.7927,2766.7927,971.6992,928.90674
-1992587721,250.0,470.68622,220.68622,494.7055,244.7055,5938.135,6111.29,5754.996,3937.615,2511.3726,2511.3728,2511.3728,1817.3811,173.15503
675187325,250.0,449.1397,199.13971,380.93793,130.93793,3791.026,4183.3223,5212.0195,3776.7456,2294.4956,2294.4956,2294.4956,1435.2739,392.2964
1761766398,250.0,584.8401,334.8401,607.3708,357.3708,7612.759,9139.273,8787.397,5559.3027,3040.2844,3040.2847,3040.2844,3228.0945,1526.5142
630898849,250.0,437.15555,187.15555,437.23743,187.23743,4541.649,5020.9736,5019.745,3709.732,2317.0557,2317.0554,2317.0554,1310.0132,479.32495
-2048043543,250.0,736.4176,486.4176,634.9306,384.9306,9223.322,11215.112,12890.433,6377.321,3672.7554,3672.7556,3672.7559,6513.112,1991.7896
1380944539,250.0,686.0859,436.08588,731.1731,481.1731,9405.044,12929.523,12060.23,7418.9927,4113.917,4113.917,4113.917,4641.238,3524.4795
-443350544,250.0,575.5776,325.57758,485.19873,235.19873,4493.131,5756.5967,6939.1157,3681.659,1845.5968,1845.5968,1845.5968,3257.457,1263.4658
66651665,250.0,367.639,117.63901,353.32205,103.32205,3858.6387,4265.629,4481.8145,3428.4019,2704.2966,2704.2966,2704.2966,1053.4126,406.99023
-1385530526,250.0,370.92307,120.923065,337.66455,87.66455,3349.4453,3654.9868,4082.712,3365.111,2509.376,2509.376,2509.376,717.6008,305.5415
-1040023681,250.0,388.74457,138.74457,369.845,119.845,2965.99,3311.1267,3546.1677,2629.3767,2093.9106,2093.9106,2093.9106,916.791,345.13672
1909811994,250.0,446.5266,196.52661,389.7603,139.76031,4038.4302,4513.4424,5430.9287,4133.0093,2511.4727,2511.4727,2511.4727,1297.9194,475.0122
-463642527,250.0,421.46075,171.46075,425.28058,175.28058,4438.1323,5471.6875,5421.442,3485.9707,2903.8037,2903.8037,2903.8037,1935.4712,1033.5552
481889107,250.0,686.17444,436.17444,535.9782,285.9782,5702.391,7640.1235,10012.459,5363.8516,2623.1514,2623.1514,2623.1516,4648.6074,1937.7324
1466068709,250.0,414.22034,164.22034,386.65036,136.65036,3728.5605,4221.517,4638.275,3581.5098,2364.4731,2364.4731,2364.473,1056.7649,492.95654
542933640,250.0,373.0737,123.0737,365.20987,115.20987,3246.7283,3406.029,3482.8955,2817.0156,2227.4214,2227.4214,2227.4214,665.8799,159.30078
-31587717,250.0,439.88654,189.88654,311.5115,61.511505,3166.791,3211.059,4906.8335,3600.575,2475.4832,2475.4832,2475.4832,1306.2585,44.268066
-1608197371,250.0,541.2104,291.2104,576.80115,326.80115,6730.381,7947.634,7385.913,4998.13,3015.1807,3015.1807,3015.1807,2387.7832,1217.2529
-806685258,250.0,467.04333,217.04333,464.80847,214.80847,3987.7014,4724.173,4752.368,3872.543,2232.9346,2232.9346,2232.9346,879.8252,736.47144
1337272588,250.0,544.267,294.26703,609.86395,359.86395,6552.962,9022.723,7921.3506,4546.74,2277.2246,2277.2244,2277.2246,3374.6104,2469.7607
1134486876,250.0,618.06714,368.06714,631.0713,381.0713,5785.376,8734.467,8480.049,4133.401,2348.3103,2348.3103,2348.3103,4346.6475,2949.0906
408405954,250.0,427.96716,177.96716,336.1916,86.19159,3700.793,3867.0396,5366.8413,3645.5803,2560.7136,2560.7136,2560.7136,1721.261,166.24658
707954076,250.0,396.80148,146.80148,295.03268,45.032684,1850.9546,1915.2782,3203.0544,2132.81,1452.8312,1452.831,1452.8312,1070.2445,64.32373
698709310,250.0,573.5068,323.50677,625.44543,375.44543,6573.5303,7907.129,6849.7446,4068.1963,2363.3372,2363.3372,2363.3372,2781.548,1333.5986
286052801,250.0,455.696,205.69601,458.76657,208.76657,3438.904,4342.453,4310.2295,2768.7153,1649.4507,1649.4507,1649.4507,1541.5142,903.5491
-190541709,250.0,578.05597,328.05597,353.6886,103.6886,5285.3994,5460.9487,10699.043,5646.9863,3231.8584,3231.8586,3231.859,5052.057,175.54907
-763205672,250.0,465.05084,215.05084,502.00134,252.00134,4824.785,6077.045,5444.5635,3474.3975,2326.7354,2326.7354,2326.7354,1970.166,1252.2598
-1512022076,250.0,555.13367,305.13367,485.01285,235.01285,5998.2407,6867.622,7766.037,5502.7427,3321.7915,3321.7915,3321.7915,2263.2944,869.38135
-2041392862,250.0,500.59018,250.59018,518.4049,268.4049,5257.995,6912.578,6725.247,4282.0796,2439.2598,2439.2598,2439.2598,2443.1675,1654.583
-1124915830,250.0,387.50354,137.50354,374.69434,124.694336,4595.129,4862.9463,5009.2925,4002.622,2923.0059,2923.0059,2923.0059,1006.6704,267.81738
174823762,250.0,426.60632,176.60632,400.75165,150.75165,4505.139,5665.5786,6122.196,4166.3745,2764.0747,2764.0747,2764.0747,1955.8213,1160.4395
-1668190253,250.0,583.94586,333.94586,376.53055,126.53055,5002.173,5323.084,8728.41,5163.257,3334.314,3334.314,3334.314,3565.1533,320.91113
1799436767,250.0,387.3303,137.33029,270.0,20.0,3477.052,3477.052,5033.017,4166.073,3212.1824,3212.1824,3212.1821,866.9436,0.0
-1555590367,250.0,506.75223,256.75223,483.6275,233.6275,6030.675,6832.506,7091.72,4763.868,2104.9546,2104.9548,2104.9546,2327.852,801.83057
650433521,250.0,430.54825,180.54825,430.67273,180.67273,4244.064,5554.573,5553.2036,4177.204,2615.585,2615.585,2615.585,1375.9995,1310.5093
