# ExperimentSet [id=resultsExperiments/timelinessDisruption/V8E2D_5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=8, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C4,1774763047,250.0,762.15,512.15,597.21075,347.21075,16244.612,21103.59,29265.441,18707.871,5883.716,5883.716,5883.716,10557.571,4858.9775
C4,-506496402,250.0,687.6164,437.6164,673.9359,423.9359,24481.973,28313.402,28950.635,23194.074,6073.9585,6073.9585,6073.9585,5756.5605,3831.4297
C3,-41169962,250.0,853.05664,603.05664,844.44904,594.44904,22115.59,35406.41,35782.527,15206.087,6919.4775,6919.477,6919.4775,20576.441,13290.821
C1,2018695370,250.0,608.7542,358.7542,528.68365,278.68365,9773.906,13386.112,16471.074,8720.703,4785.7085,4785.7085,4785.7085,7750.3706,3612.2065
C3,1083428877,250.0,592.8989,342.89893,451.8319,201.83191,12106.548,14196.481,20473.295,11055.551,6595.052,6595.0527,6595.052,9417.743,2089.9326
C1,298499967,250.0,549.95984,299.95984,495.2915,245.2915,12717.689,14534.278,16426.578,11008.177,6315.613,6315.6133,6315.6133,5418.4014,1816.5884
C3,-1264165101,250.0,854.3172,604.3172,617.1213,367.12128,15181.875,20888.457,32010.23,12870.501,5569.88,5569.88,5569.8794,19139.73,5706.582
C7,1316144193,250.0,964.21155,714.21155,953.9355,703.9355,27058.414,36877.535,37362.977,25412.371,5329.69,5329.69,5329.69,11950.605,9819.121
C4,315415608,250.0,1301.5123,1051.5123,1295.5477,1045.5477,36477.453,76734.36,77147.26,24390.354,5625.831,5625.831,5625.831,52756.906,40256.91
C3,-187855682,250.0,706.91486,456.91486,470.8907,220.89069,14405.431,15755.613,27406.285,22421.223,6055.889,6055.889,6055.8887,4985.0625,1350.1836
C3,-1992587721,250.0,662.9929,412.99292,609.26373,359.26373,15546.182,19445.723,21527.633,14996.603,5287.9478,5287.9478,5287.9478,6531.0312,3899.541
C6,675187325,250.0,755.8987,505.89868,669.1569,419.15692,17121.506,20544.564,24099.586,18359.482,5308.6367,5308.637,5308.637,5740.1035,3423.0586
C6,1761766398,250.0,1910.6223,1660.6223,1906.311,1656.311,80623.26,114246.57,114537.836,72320.59,6592.608,6592.6074,6592.6074,42217.242,33623.312
C1,630898849,250.0,875.7602,625.7602,828.9016,578.9016,19992.404,29849.65,32030.85,15474.561,6732.6235,6732.623,6732.6226,16556.29,9857.246
C7,-2048043543,250.0,1136.8651,886.8651,1129.2317,879.2317,37767.836,47130.125,47516.008,36935.566,6973.5005,6973.5005,6973.5,10580.441,9362.289
C2,1380944539,250.0,679.4151,429.4151,590.45605,340.45605,19521.705,23110.04,27593.61,21658.232,6185.0737,6185.0737,6185.0737,5935.377,3588.334
C1,-443350544,250.0,490.65924,240.65924,444.53253,194.53253,11307.904,12271.085,14026.43,12903.148,5256.0376,5256.0386,5256.0376,1123.2798,963.1797
C3,66651665,250.0,401.57983,151.57983,393.8256,143.82559,10771.093,11178.009,11479.073,10568.277,6364.496,6364.496,6364.496,910.7959,406.91602
C3,-1385530526,250.0,729.5535,479.55353,511.14697,261.14697,14587.0625,17553.22,27813.574,15043.076,6121.724,6121.724,6121.724,12770.498,2966.1582
C1,-1040023681,250.0,705.0047,455.0047,644.3859,394.38593,13755.696,19500.518,21978.959,10012.392,4640.316,4640.316,4640.316,11966.566,5744.8203
C1,1909811994,250.0,699.22253,449.22253,656.6558,406.65582,19183.977,24640.1,26070.717,14650.383,6969.6973,6969.6973,6969.6973,11420.334,5456.123
C3,-463642527,250.0,1040.7092,790.7092,1023.59796,773.59796,29397.846,44354.664,45020.297,15505.388,5346.613,5346.613,5346.613,29514.908,14956.818
C3,481889107,250.0,669.3369,419.3369,606.30835,356.30835,20598.484,23702.748,26349.07,18109.203,6849.8604,6849.8594,6849.8604,8239.868,3104.2646
C1,1466068709,250.0,652.43835,402.43835,580.3437,330.3437,16341.673,19197.28,22439.59,12006.447,5702.874,5702.8745,5702.874,10433.142,2855.6055
C2,542933640,250.0,1747.9008,1497.9008,1748.8822,1498.8822,47164.223,85442.67,85385.39,29482.682,7957.0166,7957.016,7957.017,55902.71,38278.45
C1,-31587717,250.0,854.317,604.317,759.1038,509.10382,16991.121,24191.338,27306.457,14483.921,6485.7534,6485.7534,6485.7534,12822.535,7200.217
C1,-1608197371,250.0,691.08057,441.08057,618.25,368.25,15237.672,19873.574,22670.408,13155.419,6944.766,6944.766,6944.7656,9514.989,4635.9023
C1,-806685258,250.0,1229.0139,979.0139,1205.2239,955.2239,34495.773,58019.227,59290.35,20368.99,7063.864,7063.8643,7063.864,38921.36,23523.453
C5,1337272588,250.0,737.67645,487.67645,731.9748,481.9748,20522.945,26023.566,26255.936,20305.797,6209.151,6209.151,6209.1514,5950.1396,5500.621
C1,1134486876,250.0,881.45624,631.45624,453.99353,203.99353,12347.703,13183.844,31278.344,24986.754,5854.6646,5854.6646,5854.6646,6291.59,836.1406
C1,408405954,250.0,477.36322,227.36322,367.719,117.718994,8255.495,8685.876,12193.649,8739.882,5400.7734,5400.7734,5400.7734,3453.7676,430.38086
C3,707954076,250.0,461.61377,211.61377,362.3646,112.36459,9737.944,10328.568,13932.765,11597.11,6107.7324,6107.7324,6107.7314,2335.6533,590.624
C1,698709310,250.0,575.82513,325.82513,507.70612,257.70612,14675.77,17179.365,19670.795,12494.681,6880.926,6880.925,6880.9253,7176.1147,2503.5967
C2,286052801,250.0,1393.7706,1143.7706,1295.3035,1045.3035,30230.84,70277.06,78226.086,21785.178,6005.3984,6005.3984,6005.3984,56440.906,40046.223
C2,-190541709,250.0,721.9386,471.9386,704.1562,454.1562,23601.139,30824.38,31719.867,16064.775,7001.0024,7001.003,7001.0024,15655.09,7223.242
C1,-763205672,250.0,609.78613,359.78613,513.62683,263.62683,11948.364,14947.985,19119.947,9826.707,5250.5,5250.5,5250.5,9293.24,2999.621
C3,-1512022076,250.0,734.38654,484.38654,579.7345,329.7345,16967.436,21710.453,28601.63,13417.956,6394.574,6394.5737,6394.5747,15183.676,4743.0176
C1,-2041392862,250.0,661.75745,411.75745,471.75717,221.75717,15547.594,17535.53,26842.479,19296.416,7067.3267,7067.3267,7067.3267,7546.0625,1987.9355
C2,-1124915830,250.0,784.5159,534.5159,704.37616,454.37616,16605.363,23166.758,25982.316,12641.999,6363.3237,6363.3237,6363.3237,13340.316,6561.3945
C5,174823762,250.0,582.7369,332.73688,580.7955,330.79547,14781.405,17490.662,17569.729,14816.959,5244.94,5244.94,5244.94,2752.7695,2709.2578
C3,-1668190253,250.0,713.6034,463.6034,682.7898,432.7898,20315.74,24816.855,26359.387,16879.39,7048.237,7048.237,7048.2363,9479.996,4501.115
C2,1799436767,250.0,1147.5422,897.54224,1095.4121,845.4121,35814.594,54512.49,57575.164,24189.98,7198.84,7198.84,7198.84,33385.184,18697.895
C5,-1555590367,250.0,392.4474,142.44739,451.70053,201.70053,14946.429,15910.75,13487.177,12745.086,7105.6104,7105.6104,7105.6104,742.0908,964.3213
C1,650433521,250.0,1215.7922,965.79224,996.95056,746.95056,30275.734,51606.754,65637.87,19588.842,6042.163,6042.1626,6042.1626,46049.023,21331.02
C2,-648533003,250.0,649.3079,399.30792,558.7119,308.7119,15831.142,19807.379,24119.51,13641.053,6300.6846,6300.6846,6300.6846,10478.456,3976.2373
C2,412928697,250.0,737.7615,487.76147,372.1416,122.1416,11543.007,12228.227,30869.299,21839.799,6296.758,6296.758,6296.758,9029.5,685.2197
C5,952822115,250.0,910.9577,660.9577,855.1842,605.1842,28032.457,37937.375,40910.805,27488.23,6569.648,6569.648,6569.648,13422.574,9904.918
