# ExperimentSet [id=resultsExperiments/timelinessDisruption/scale4TargetC4, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=4, runNumber=50, targetComponent=C4]
Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
-2041392862,250.0,493.1331,243.13309,493.1331,243.13309,5081.654,6641.4814,6641.4814,5081.654,2439.2598,2439.2598,2439.2598,1559.8276,1559.8276
-1124915830,250.0,387.12454,137.12454,387.12454,137.12454,4776.418,5005.1235,5005.1235,4776.418,2923.006,2923.006,2923.006,228.70557,228.70557
174823762,250.0,412.52502,162.52502,412.52502,162.52502,4530.437,5886.3955,5886.396,4530.437,2764.0747,2764.0747,2764.0747,1355.959,1355.9585
-1668190253,250.0,332.30325,82.30325,332.30325,82.30325,4593.006,4749.0825,4749.0825,4593.006,3334.314,3334.314,3334.314,156.07666,156.07666
1799436767,250.0,393.36362,143.36362,393.36362,143.36362,4842.855,5093.499,5093.499,4842.855,3212.1821,3212.1824,3212.1821,250.6438,250.6438
-1555590367,250.0,521.88043,271.88043,521.88043,271.88043,6064.589,7261.9775,7261.977,6064.589,2104.9548,2104.9546,2104.9546,1197.3882,1197.3889
650433521,250.0,420.5141,170.5141,420.5141,170.5141,5102.427,5436.337,5436.3374,5102.427,2615.585,2615.585,2615.585,333.91064,333.91016
-648533003,250.0,338.66486,88.664856,338.66486,88.664856,4137.449,4310.4756,4310.4756,4137.449,2894.8674,2894.8674,2894.8674,173.02637,173.02637
412928697,250.0,374.164,124.164,374.164,124.164,3850.391,4145.095,4145.0947,3850.391,2326.6375,2326.6372,2326.6375,294.70386,294.70435
952822115,250.0,513.23315,263.23315,513.23315,263.23315,7190.8765,8392.024,8392.024,7190.8765,3558.6602,3558.6604,3558.6606,1201.1484,1201.148
-1720755923,250.0,646.91064,396.91064,646.91064,396.91064,6531.8804,8542.827,8542.828,6531.88,2096.8357,2096.836,2096.8357,2010.9482,2010.9463
713249548,250.0,373.1788,123.1788,373.1788,123.1788,3474.2253,3568.1716,3568.1719,3474.2253,2488.298,2488.298,2488.298,93.94653,93.94629
826247555,250.0,393.64584,143.64584,393.64584,143.64584,4536.921,4811.286,4811.286,4536.921,2828.7961,2828.796,2828.7961,274.36548,274.36548
