# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D25.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=25.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C8,-2041392862,250.0,2935.9146,2685.9146,2873.7634,2623.7634,214383.86,450639.22,462989.0,150335.47,8866.346,8866.347,8866.346,312653.53,236255.36
C4,-1124915830,250.0,1944.2188,1694.2188,2073.0142,1823.0142,164724.66,245065.31,227305.83,73647.95,9452.357,9452.356,9452.356,153657.88,80340.66
C13,174823762,250.0,907.64404,657.64404,963.2428,713.2428,73226.01,79940.83,73919.77,66096.266,9689.122,9689.121,9689.121,7823.508,6714.8164
C3,-1668190253,250.0,3047.9119,2797.9119,2443.706,2193.706,188819.36,277199.7,354799.8,111462.88,13022.817,13022.818,13022.818,243336.94,88380.33
C9,1799436767,250.0,1924.7178,1674.7178,1998.7217,1748.7217,167168.83,212991.73,202893.77,144359.88,10446.714,10446.714,10446.714,58533.89,45822.906
C2,-1555590367,250.0,1654.6012,1404.6012,1554.2472,1304.2472,113871.766,156680.55,169453.81,68563.35,10661.46,10661.461,10661.46,100890.45,42808.79
C6,650433521,250.0,1402.4069,1152.4069,1488.247,1238.247,115994.59,137905.2,128539.555,100937.46,10258.266,10258.267,10258.266,27602.094,21910.61
C5,-648533003,250.0,1804.4398,1554.4398,1729.78,1479.78,105911.4,179299.8,188940.25,71956.62,9952.458,9952.458,9952.458,116983.64,73388.41
C9,412928697,250.0,2675.164,2425.164,2128.1895,1878.1895,220659.64,306856.88,410690.47,217199.97,10899.818,10899.818,10899.818,193490.5,86197.234
C5,952822115,250.0,2449.4688,2199.4688,2362.8376,2112.8376,160875.77,266149.78,275714.03,113032.07,11622.068,11622.068,11622.068,162681.97,105274.016
C2,-1720755923,250.0,3861.8857,3611.8857,4037.074,3787.074,281044.72,568726.25,539471.6,86420.51,10427.595,10427.595,10427.595,453051.1,287681.5
C8,713249548,250.0,1111.4637,861.46375,1070.7897,820.7897,73429.125,79884.4,83405.73,70306.63,9949.679,9949.679,9949.678,13099.094,6455.2734
C8,826247555,250.0,2200.2883,1950.2883,2005.615,1755.615,188255.16,226893.11,254534.1,192408.45,10917.04,10917.04,10917.04,62125.64,38637.953
C2,785368874,250.0,4290.6934,4040.6934,2492.1519,2242.1519,307839.84,351972.3,705559.4,453742.38,10929.843,10929.843,10929.843,251817.03,44132.47
C3,1006981601,250.0,1724.3453,1474.3453,571.7398,321.7398,37302.535,38612.8,206817.03,185540.73,8842.569,8842.569,8842.569,21276.297,1310.2656
C1,114827670,250.0,1628.5281,1378.5281,789.72534,539.72534,58843.36,67660.3,151194.14,98698.6,13680.831,13680.831,13680.831,52495.54,8816.9375
C7,316430616,250.0,2276.0117,2026.0117,1681.732,1431.732,170793.1,207200.12,302098.2,209981.11,11663.843,11663.843,11663.843,92117.08,36407.03
C8,-406689046,250.0,2430.913,2180.913,2202.6846,1952.6846,165511.73,260450.0,293678.44,132620.66,10744.514,10744.514,10744.513,161057.8,94938.266
C9,-9578651,250.0,2034.4515,1784.4515,754.0199,504.0199,61814.773,63765.418,249678.56,218992.2,11246.457,11246.457,11246.457,30686.36,1950.6445
C2,103950130,250.0,2356.897,2106.897,2063.0684,1813.0684,162192.5,254907.94,301239.4,89356.016,10326.444,10326.444,10326.444,211883.4,92715.44
C2,428964495,250.0,514.6427,264.6427,566.7688,316.7688,37269.254,38445.04,33231.695,31590.984,10577.843,10577.843,10577.844,1640.7109,1175.7852
C7,277769676,250.0,1257.0684,1007.06836,1239.7708,989.77075,93583.555,106618.31,108780.37,90241.234,10612.848,10612.847,10612.848,18539.133,13034.766
C7,1602222556,250.0,3027.234,2777.234,2604.0698,2354.0698,221551.7,344521.25,414295.84,120984.79,11029.133,11029.133,11029.132,293311.06,122969.56
C14,1124888674,250.0,2468.491,2218.491,2420.428,2170.428,241234.7,290702.88,296676.7,231558.08,9111.855,9111.856,9111.855,65118.625,49468.188
C9,-612012627,250.0,1756.5533,1506.5533,1754.7245,1504.7245,134473.66,154711.53,154878.6,131272.11,11875.11,11875.11,11875.11,23606.484,20237.875
C8,1996655901,250.0,3878.5554,3628.5554,3828.6816,3578.6816,285155.38,616359.8,626249.8,155627.97,10384.1,10384.099,10384.099,470621.8,331204.4
C10,-1298180151,250.0,2259.409,2009.4089,2306.4944,2056.4944,177556.36,212125.97,207242.77,168561.86,11356.58,11356.58,11356.58,38680.906,34569.61
C1,80545937,250.0,680.6941,430.6941,573.6186,323.6186,36280.28,39307.816,49752.637,41543.63,10802.641,10802.641,10802.641,8209.008,3027.5352
C10,-712186726,250.0,1182.9121,932.9121,938.7414,688.7414,75492.4,79752.7,109852.85,98799.14,9245.906,9245.906,9245.906,11053.711,4260.3047
C3,1734157801,250.0,1015.94855,765.94855,1068.8193,818.81934,82973.35,94212.74,87721.82,70061.93,11343.132,11343.131,11343.131,17659.89,11239.391
C4,1758599912,250.0,3541.9019,3291.9019,2110.7878,1860.7878,185943.11,233175.0,431904.28,241491.6,10904.526,10904.526,10904.525,190412.69,47231.89
C6,1220024408,250.0,2303.2083,2053.2083,2338.721,2088.721,161846.83,302437.03,296691.9,80398.08,10751.992,10751.992,10751.992,216293.81,140590.19
C3,110083800,250.0,2405.8203,2155.8203,2374.7756,2124.7756,188933.4,302345.03,307046.97,81993.68,10036.059,10036.057,10036.058,225053.28,113411.625
C1,-2135800093,250.0,1380.2579,1130.2579,469.8211,219.8211,28557.438,30813.473,132803.2,85378.54,11028.749,11028.75,11028.75,47424.664,2256.0352
C4,1702456891,250.0,2397.1064,2147.1064,2506.3948,2256.3948,190941.39,286773.06,273903.88,107979.84,11489.341,11489.342,11489.341,165924.03,95831.67
C3,-503307268,250.0,962.7316,712.7316,778.44226,528.44226,41711.18,49471.836,65348.402,35363.81,9378.27,9378.27,9378.27,29984.594,7760.6562
C2,1213087600,250.0,1420.6672,1170.6672,1895.1566,1645.1566,130250.17,183150.23,131313.94,63285.094,9409.945,9409.945,9409.944,68028.84,52900.055
C7,-1081705337,250.0,1812.5338,1562.5338,1841.0223,1591.0223,168088.08,204960.47,201418.89,142924.92,9728.038,9728.038,9728.037,58493.97,36872.39
C7,-2965150,250.0,2423.9355,2173.9355,2391.9,2141.9,204805.61,308172.6,312629.3,171879.75,11023.955,11023.956,11023.956,140749.55,103366.97
C3,-1128452549,250.0,1454.2854,1204.2854,1468.6555,1218.6555,96778.87,131614.34,129990.01,52347.973,10250.76,10250.76,10250.76,77642.04,34835.477
C13,-528027027,250.0,3584.2222,3334.2222,3479.2214,3229.2214,417171.8,533990.06,552969.6,417363.66,9359.13,9359.132,9359.131,135605.97,116818.25
C11,1980218242,250.0,982.0881,732.0881,986.2554,736.2554,74826.766,82168.12,81663.75,73100.51,10380.656,10380.656,10380.655,8563.242,7341.3516
C3,-1577489105,250.0,1285.714,1035.714,1232.0698,982.0698,70684.195,101780.36,106562.03,43809.375,12860.775,12860.775,12860.773,62752.656,31096.164
C8,468501319,250.0,981.40405,731.40405,897.8633,647.8633,64639.355,70996.72,78310.336,69237.35,10515.761,10515.761,10515.761,9072.988,6357.3633
C1,-1869548146,250.0,1938.7356,1688.7356,1824.485,1574.485,115374.0,202834.89,217100.55,53725.094,12247.838,12247.838,12247.837,163375.44,87460.88
C1,-1409282735,250.0,5050.9985,4800.9985,5139.146,4889.146,651793.7,887614.3,869402.2,467339.4,11158.6,11158.6,11158.599,402062.75,235820.62
C3,159747449,250.0,667.67676,417.67676,601.9679,351.9679,38261.066,40865.816,48087.816,41365.57,8200.305,8200.305,8200.305,6722.246,2604.75
C4,2084122642,250.0,2614.599,2364.599,1637.8235,1387.8235,146820.28,169953.02,292463.47,181503.36,10820.142,10820.143,10820.142,110960.09,23132.734
C3,176527414,250.0,2127.7139,1877.7139,1791.7217,1541.7217,139884.66,189148.5,230466.33,109126.5,10642.192,10642.193,10642.193,121339.836,49263.85
C2,1949557543,250.0,1004.0868,754.0868,584.23737,334.23737,38002.566,40078.19,84709.16,75056.97,10525.506,10525.506,10525.506,9652.1875,2075.625
C14,-2124536784,250.0,921.894,671.894,914.23596,664.23596,60822.51,64509.12,65201.78,59558.812,8899.785,8899.785,8899.785,5642.9688,3686.6094
C7,-1402574388,250.0,2768.0024,2518.0024,2705.7922,2455.7922,235603.94,295634.8,303285.97,211412.19,9468.412,9468.412,9468.413,91873.78,60030.875
C1,357533351,250.0,3453.4658,3203.4658,3534.7842,3284.7842,211588.58,406688.78,396499.4,53079.555,9964.074,9964.074,9964.074,343419.88,195100.22
C3,-745000173,250.0,1354.4938,1104.4938,820.47003,570.47003,54071.758,58581.027,115489.266,87851.39,9879.718,9879.718,9879.717,27637.875,4509.2695
C4,119658930,250.0,1749.7374,1499.7374,1877.3378,1627.3378,163973.42,228762.33,209304.03,109228.164,11043.894,11043.894,11043.894,100075.87,64788.906
C5,-47748695,250.0,936.7611,686.7611,852.35657,602.35657,65472.418,70273.1,78645.44,70800.83,11105.808,11105.807,11105.807,7844.6094,4800.6875
C3,732230767,250.0,1422.2203,1172.2203,459.64435,209.64435,26905.547,27098.902,166677.39,153481.28,8880.691,8880.691,8880.691,13196.109,193.35547
C2,-286604446,250.0,969.74036,719.74036,873.8911,623.8911,57867.7,64787.934,74218.45,56885.324,10954.79,10954.79,10954.791,17333.133,6920.2344
C5,-1058345380,250.0,4624.198,4374.198,4703.263,4453.263,493629.6,818448.1,802787.2,267289.1,9641.113,9641.113,9641.113,535498.06,324818.53
C3,2097610983,250.0,1270.8616,1020.8616,1127.6274,877.62744,88572.37,101613.664,118204.87,82542.9,11028.799,11028.799,11028.799,35661.97,13041.297
C5,408255009,250.0,3766.436,3516.436,2560.228,2310.228,194044.72,332328.66,536355.75,135434.3,10164.0205,10164.0205,10164.0205,400921.47,138283.92
C9,117000257,250.0,1458.2228,1208.2228,1387.0493,1137.0493,113816.61,133254.02,141771.42,115172.84,10332.75,10332.75,10332.75,26598.578,19437.406
C4,-681037470,250.0,2199.7139,1949.7139,2348.6912,2098.6912,152435.67,284053.38,264338.6,66078.06,12196.062,12196.062,12196.061,198260.53,131617.7
