# ExperimentSet [id=resultsExperiments/timelinessDisruption/scale8TargetC1, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=3, nNodes=8, runNumber=50, targetComponent=C1]
Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
1774763047,250.0,1188.0625,938.0625,1320.0217,1070.0217,51189.355,66589.85,57830.57,21420.408,6723.57,6723.57,6723.57,36410.164,15400.496
-506496402,250.0,1406.5262,1156.5262,1139.9022,889.9022,33234.492,55701.58,70835.34,23492.07,6239.7295,6239.7295,6239.73,47343.273,22467.086
-41169962,250.0,1003.3065,753.3065,926.437,676.437,30758.053,40440.156,44488.742,19449.633,6633.519,6633.5195,6633.519,25039.11,9682.104
2018695370,250.0,964.6257,714.6257,1295.9426,1045.9426,35730.617,59437.355,37504.516,13795.423,5160.8525,5160.8525,5160.8525,23709.094,23706.738
1083428877,250.0,1099.9304,849.9304,1220.7751,970.77515,41135.1,62842.688,55191.527,15971.631,5488.3003,5488.3,5488.2993,39219.895,21707.586
298499967,250.0,1248.9069,998.90686,1299.9269,1049.9269,46213.742,70975.9,67586.8,19578.277,6406.7217,6406.7217,6406.7217,48008.52,24762.156
-1264165101,250.0,1706.0647,1456.0647,1504.1547,1254.1547,53257.58,81085.63,94385.75,24886.92,5765.1294,5765.1294,5765.1294,69498.83,27828.05
1316144193,250.0,1522.4707,1272.4707,1130.6385,880.63855,34729.94,50041.746,70398.56,21080.547,6426.356,6426.356,6426.356,49318.016,15311.805
315415608,250.0,1064.0836,814.0836,1153.2648,903.2648,31044.078,47733.16,43785.816,16287.632,5673.325,5673.3247,5673.325,27498.186,16689.082
-187855682,250.0,848.81964,598.81964,865.6106,615.6106,30547.496,46421.473,45155.74,19459.816,6830.874,6830.874,6830.874,25695.922,15873.977
-1992587721,250.0,1086.1028,836.1028,767.8329,517.8329,24449.75,30544.398,46297.613,13974.862,5981.961,5981.961,5981.9604,32322.75,6094.6484
675187325,250.0,974.45856,724.45856,985.01807,735.01807,30099.53,48039.8,47410.234,18247.455,5576.6777,5576.6777,5576.6777,29162.777,17940.273
1761766398,250.0,1395.8325,1145.8325,1645.8119,1395.8119,47643.785,94766.1,80001.805,19425.95,6649.3726,6649.3726,6649.3726,60575.85,47122.312
630898849,250.0,1275.7207,1025.7207,1677.4462,1427.4462,54621.617,102004.805,75494.0,24914.592,7458.472,7458.4727,7458.4727,50579.414,47383.184
-2048043543,250.0,1159.8722,909.8722,1065.7114,815.7114,36638.082,54072.516,59318.797,22384.504,8505.135,8505.135,8505.135,36934.297,17434.436
1380944539,250.0,818.36487,568.36487,775.55054,525.55054,25030.803,35071.69,37290.56,18709.555,6731.405,6731.4053,6731.4053,18581.004,10040.887
-443350544,250.0,772.783,522.783,885.29065,635.29065,25003.387,38017.027,32339.166,13009.12,5896.8594,5896.8594,5896.8594,19330.047,13013.641
66651665,250.0,1192.4229,942.42285,1090.9653,840.96533,34232.004,59881.145,66045.49,19491.158,6536.9316,6536.9316,6536.9316,46554.336,25649.139
-1385530526,250.0,937.3423,687.3423,955.2276,705.2276,30615.742,43216.53,42326.24,17414.402,7149.281,7149.2812,7149.2812,24911.836,12600.789
-1040023681,250.0,956.34485,706.34485,1165.5092,915.50916,35742.473,58808.793,47052.383,18786.54,7080.2437,7080.2437,7080.2437,28265.846,23066.322
1909811994,250.0,1781.1816,1531.1816,1550.7518,1300.7518,53700.26,109587.14,130125.89,27382.43,5286.7065,5286.7065,5286.7065,102743.47,55886.883
-463642527,250.0,847.02936,597.02936,792.0229,542.0229,22671.69,30712.586,33194.258,13898.189,5973.0137,5973.0137,5973.0137,19296.068,8040.8965
481889107,250.0,788.1211,538.1211,792.78326,542.78326,22965.242,32428.473,32165.787,14924.467,6285.8354,6285.8354,6285.8354,17241.32,9463.23
1466068709,250.0,519.2583,269.2583,461.39877,211.39877,13211.713,16087.246,18308.188,12789.419,6417.664,6417.6636,6417.664,5518.7686,2875.5332
542933640,250.0,634.30615,384.30615,595.68646,345.68646,19853.574,24764.943,26750.297,14906.342,7345.389,7345.39,7345.389,11843.953,4911.367
-31587717,250.0,1150.7904,900.7904,1023.6911,773.6911,29320.633,47630.316,54361.496,18283.146,7391.0693,7391.0693,7391.0693,36078.348,18309.684
-1608197371,250.0,2100.249,1850.249,2135.661,1885.6609,62512.633,144372.9,141598.95,31174.38,6904.0645,6904.0645,6904.0645,110424.58,81860.27
-806685258,250.0,1631.115,1381.115,1282.5488,1032.5488,44389.656,78109.92,103655.85,28772.059,7082.8984,7082.8984,7082.8984,74883.8,33720.266
1337272588,250.0,1972.3099,1722.3099,2259.6067,2009.6067,84253.94,165285.44,142300.52,32319.254,6083.1226,6083.122,6083.1226,109981.26,81031.5
1134486876,250.0,1714.0762,1464.0762,1185.0508,935.0508,38663.75,54626.348,84880.914,23047.314,6140.1045,6140.1045,6140.104,61833.6,15962.598
408405954,250.0,1235.6232,985.62317,1149.6873,899.68726,32418.738,55475.348,60307.0,17208.564,6781.4355,6781.4355,6781.4355,43098.434,23056.611
