# ExperimentSet [id=resultsExperiments/timelinessDisruption/scale8TargetC8, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=3, nNodes=8, runNumber=50, targetComponent=C8]
Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
1774763047,250.0,1123.5098,873.50977,1123.5098,873.50977,46338.56,53784.77,53784.77,46338.56,6723.57,6723.57,6723.57,7446.211,7446.211
-506496402,250.0,1008.601,758.601,1008.601,758.601,47886.473,47844.824,47844.832,47886.473,6239.7295,6239.73,6239.73,-41.640625,-41.648438
-41169962,250.0,815.947,565.947,815.947,565.947,32336.7,34533.402,34533.406,32336.703,6633.5195,6633.519,6633.519,2196.7031,2196.7031
2018695370,250.0,1463.32,1213.32,1463.32,1213.32,49752.254,71053.72,71053.73,49752.254,5160.8525,5160.8525,5160.8525,21301.473,21301.465
1083428877,250.0,671.3027,421.30267,671.3027,421.30267,23928.031,27639.99,27639.992,23928.035,5488.2993,5488.3,5488.2993,3711.955,3711.959
298499967,250.0,787.4158,537.4158,787.4158,537.4158,35327.336,36816.7,36816.7,35327.34,6406.721,6406.721,6406.7217,1489.3613,1489.3633
-1264165101,250.0,1758.008,1508.008,1758.008,1508.008,81407.93,98321.5,98321.49,81407.93,5765.129,5765.129,5765.1294,16913.562,16913.578
1316144193,250.0,466.58096,216.58096,466.58096,216.58096,16189.793,16595.422,16595.42,16189.793,6426.356,6426.356,6426.356,405.62695,405.6289
315415608,250.0,776.5709,526.5709,776.5709,526.5709,26790.725,32492.74,32492.742,26790.73,5673.3247,5673.325,5673.325,5702.0117,5702.0137
-187855682,250.0,651.9645,401.96448,651.9645,401.96448,28451.998,32595.586,32595.586,28451.998,6830.874,6830.874,6830.8735,4143.586,4143.586
-1992587721,250.0,594.14703,344.14703,594.14703,344.14703,20116.31,21424.016,21424.018,20116.31,5981.9604,5981.9604,5981.9604,1307.707,1307.7051
675187325,250.0,1039.8014,789.8014,1039.8014,789.8014,47313.19,51164.95,51164.95,47313.195,5576.6777,5576.6777,5576.6777,3851.7578,3851.7578
1761766398,250.0,451.9778,201.97781,451.9778,201.97781,16126.186,18204.111,18204.111,16126.186,6649.3726,6649.3726,6649.3726,2077.9258,2077.9258
630898849,250.0,867.69116,617.69116,867.69116,617.69116,40692.57,47073.062,47073.062,40692.57,7458.4727,7458.4727,7458.4727,6380.492,6380.492
-2048043543,250.0,969.6775,719.6775,969.6775,719.6775,43679.52,48394.965,48394.96,43679.52,8505.135,8505.134,8505.135,4715.4453,4715.449
1380944539,250.0,884.71594,634.71594,884.71594,634.71594,36794.62,40681.168,40681.168,36794.62,6731.4043,6731.4053,6731.4053,3886.5469,3886.545
-443350544,250.0,749.5771,499.5771,749.5771,499.5771,25270.318,31096.19,31096.19,25270.318,5896.8594,5896.8594,5896.8594,5825.871,5825.871
66651665,250.0,1168.5217,918.5217,1168.5217,918.5217,54897.133,64587.203,64587.2,54897.137,6536.9316,6536.9316,6536.9316,9690.0625,9690.07
-1385530526,250.0,975.1572,725.1572,975.1572,725.1572,41641.145,44232.727,44232.727,41641.145,7149.2812,7149.2812,7149.2812,2591.582,2591.582
-1040023681,250.0,545.4612,295.46118,545.4612,295.46118,20763.346,22830.55,22830.553,20763.348,7080.2437,7080.2437,7080.2446,2067.205,2067.205
1909811994,250.0,1753.3475,1503.3475,1753.3475,1503.3475,96085.59,127715.75,127715.75,96085.59,5286.707,5286.707,5286.7065,31630.156,31630.156
-463642527,250.0,488.65295,238.65295,488.65295,238.65295,17429.434,16442.414,16442.416,17429.434,5973.0137,5973.0137,5973.014,-987.0176,-987.01953
481889107,250.0,660.1444,410.1444,660.1444,410.1444,24400.79,25720.35,25720.348,24400.791,6285.8354,6285.8354,6285.8354,1319.5566,1319.5605
1466068709,250.0,438.2962,188.2962,438.2962,188.2962,14578.134,15046.326,15046.324,14578.135,6417.6636,6417.6636,6417.6636,468.18896,468.1919
542933640,250.0,461.30356,211.30356,461.30356,211.30356,17738.715,18443.107,18443.107,17738.713,7345.39,7345.39,7345.3896,704.39355,704.3926
-31587717,250.0,1021.8649,771.8649,1021.8649,771.8649,38698.93,47523.992,47523.992,38698.93,7391.0703,7391.0693,7391.0693,8825.0625,8825.0625
-1608197371,250.0,2421.8533,2171.8533,2421.8533,2171.8533,137352.55,165087.45,165087.44,137352.53,6904.0645,6904.0645,6904.0645,27734.906,27734.906
