# ExperimentSet [id=resultsExperiments/timelinessDisruption/V32E2D_5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=32, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C24,-2041392862,250.0,836.61774,586.61774,811.86005,561.86005,173682.3,181671.0,188623.77,178037.94,31705.465,31705.465,31705.465,10585.828,7988.703
C4,-1124915830,250.0,1039.3773,789.3773,336.53394,86.533936,49950.055,50158.094,269680.78,260310.38,29802.371,29802.373,29802.373,9370.406,208.03711
C10,174823762,250.0,1197.9078,947.90784,1190.4467,940.44666,236048.72,264281.12,266181.78,221492.16,28400.129,28400.129,28400.129,44689.625,28232.406
C4,-1668190253,250.0,482.4489,232.44891,363.043,113.043,59843.746,60272.44,91473.65,89438.68,32402.82,32402.818,32402.82,2034.9688,428.69727
C16,1799436767,250.0,758.3538,508.35382,742.86334,492.86334,132962.84,135775.38,138952.27,134394.16,27784.953,27784.957,27784.951,4558.1094,2812.5312
C10,-1555590367,250.0,2467.793,2217.793,1740.0857,1490.0857,534532.3,583889.8,869568.8,744640.8,32741.492,32741.492,32741.492,124928.0,49357.5
C1,650433521,250.0,981.9707,731.9707,704.07965,454.07965,139757.58,146419.11,217727.95,189587.53,29373.557,29373.557,29373.557,28140.422,6661.5312
C5,-648533003,250.0,2682.8494,2432.8494,2669.7065,2419.7065,328029.8,895614.6,900993.25,127396.53,27842.203,27842.203,27842.205,773596.75,567584.8
C18,412928697,250.0,1714.1995,1464.1995,923.74414,673.74414,208143.1,218127.06,492289.12,429884.56,28491.643,28491.645,28491.645,62404.562,9983.969
C4,952822115,250.0,1954.214,1704.214,1577.0138,1327.0138,347804.78,446042.72,574109.5,272895.44,33882.062,33882.06,33882.062,301214.06,98237.94
C12,-1720755923,250.0,5970.2715,5720.2715,5058.5615,4808.5615,1398401.4,2183865.8,2622390.5,1335156.2,28910.662,28910.662,28910.662,1287234.1,785464.25
C22,713249548,250.0,877.00665,627.00665,822.9595,572.9595,193456.44,199277.52,217694.3,210678.14,28889.832,28889.83,28889.832,7016.1562,5821.078
C4,826247555,250.0,2018.01,1768.01,1158.1014,908.10144,197101.75,294119.12,560593.4,166277.56,29776.25,29776.25,29776.246,394315.8,97017.375
C7,785368874,250.0,1889.439,1639.439,1404.2777,1154.2777,270793.34,336751.6,472277.94,318757.38,30277.973,30277.975,30277.975,153520.56,65958.25
C14,1006981601,250.0,1143.0027,893.0027,760.0295,510.02948,184249.78,189633.5,350761.53,329465.88,29243.697,29243.697,29243.697,21295.656,5383.7188
C21,114827670,250.0,1018.30536,768.30536,1016.42303,766.42303,224336.83,235839.94,236348.61,223582.45,31326.34,31326.346,31326.342,12766.156,11503.109
C19,316430616,250.0,961.75287,711.75287,803.7247,553.7247,210863.7,217016.03,277341.34,266455.2,31503.047,31503.049,31503.047,10886.156,6152.328
C12,-406689046,250.0,662.70294,412.70294,473.4289,223.4289,83660.086,84984.07,140832.6,135093.98,30055.854,30055.854,30055.85,5738.6094,1323.9844
C9,-9578651,250.0,1941.9531,1691.9531,1925.6097,1675.6097,460906.03,558459.8,564127.6,421816.75,30211.225,30211.225,30211.225,142310.84,97553.75
C7,103950130,250.0,1534.5172,1284.5172,1494.4852,1244.4852,370060.0,418241.72,431600.22,362316.56,29128.564,29128.562,29128.566,69283.66,48181.72
C2,428964495,250.0,2699.2192,2449.2192,982.1465,732.1465,244852.23,262953.28,999358.0,652095.4,29802.148,29802.146,29802.148,347262.62,18101.047
C14,277769676,250.0,855.5467,605.5467,843.96735,593.96735,180511.83,185433.38,189384.9,181867.38,27202.516,27202.518,27202.516,7517.5312,4921.547
C3,1602222556,250.0,2338.2712,2088.2712,1584.4026,1334.4026,191779.27,405890.3,637032.5,127048.69,29384.96,29384.96,29384.96,509983.84,214111.03
C2,1124888674,250.0,3329.9338,3079.9338,2468.2932,2218.2932,606474.3,758325.56,1077344.9,621570.75,29332.049,29332.049,29332.045,455774.12,151851.25
C23,-612012627,250.0,1477.7739,1227.7739,1470.8351,1220.8351,473836.44,510509.94,513326.0,473576.88,33463.508,33463.504,33463.508,39749.125,36673.5
C28,1996655901,250.0,2500.9414,2250.9414,2490.0322,2240.0322,903532.56,994814.94,1000064.06,905256.25,31997.158,31997.16,31997.158,94807.81,91282.375
C13,-1298180151,250.0,1272.1511,1022.1511,1095.0522,845.05225,239973.77,257503.75,306313.78,278343.25,30404.85,30404.852,30404.854,27970.547,17529.984
C1,80545937,250.0,1967.1377,1717.1377,1768.493,1518.493,265973.88,454599.66,511886.06,136688.44,30537.957,30537.959,30537.955,375197.62,188625.77
C25,-712186726,250.0,493.4408,243.4408,497.88846,247.88846,83389.44,84827.42,83614.21,81995.36,27373.592,27373.594,27373.59,1618.8477,1437.9844
C7,1734157801,250.0,1806.5557,1556.5557,1507.461,1257.461,314376.94,437805.0,539841.4,278006.2,28852.521,28852.52,28852.52,261835.17,123428.06
C11,1758599912,250.0,4660.666,4410.666,4635.366,4385.366,1169581.1,1779784.9,1791034.2,1104339.6,28409.375,28409.375,28409.375,686694.6,610203.75
C5,1220024408,250.0,3016.0723,2766.0723,2521.971,2271.971,565809.6,904779.1,1117909.8,301724.4,27169.582,27169.58,27169.582,816185.3,338969.5
C15,110083800,250.0,1009.294,759.294,998.9837,748.9837,239442.78,256060.14,259494.05,240086.95,31384.42,31384.42,31384.42,19407.094,16617.36
C12,-2135800093,250.0,4862.476,4612.476,4553.468,4303.468,1409910.4,1854390.8,1998633.4,1236962.0,30854.818,30854.818,30854.816,761671.4,444480.38
