# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V8E2D5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=8, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C4,1774763047,250.0,782.4667,532.4667,787.94617,537.94617,787.94617,537.94617,24969.092,33007.613,22799.35,32785.758,32821.06,33007.613,7427.917,9986.407,8038.5195,186.55469
C4,-506496402,250.0,687.6164,437.6164,673.9359,423.9359,673.9359,423.9359,24481.973,28313.398,23194.076,28950.635,28214.709,28313.402,6073.9585,5756.5586,3831.4258,98.69336
C3,-41169962,250.0,853.05664,603.05664,844.44904,594.44904,844.44904,594.44904,22115.59,35406.414,15206.087,35782.527,34916.04,35406.414,6919.477,20576.441,13290.824,490.375
C1,2018695370,250.0,608.7542,358.7542,528.68365,278.68365,528.68365,278.68365,9773.906,13386.111,8720.703,16471.074,13123.796,13386.11,4785.7085,7750.3706,3612.2046,262.31445
C3,1083428877,250.0,592.8989,342.89893,451.8319,201.83191,451.8319,201.83191,12106.548,14196.482,11055.551,20473.293,13934.447,14196.482,6595.052,9417.742,2089.9346,262.03516
C1,298499967,250.0,549.95984,299.95984,495.2915,245.2915,495.2915,245.2915,12717.689,14534.278,11008.177,16426.578,14314.443,14534.278,6315.6133,5418.4014,1816.5889,219.83496
C3,-1264165101,250.0,854.3172,604.3172,617.1213,367.12128,617.1213,367.12128,15181.875,20888.457,12870.501,32010.23,20471.729,20888.457,5569.8794,19139.73,5706.583,416.7295
C7,1316144193,250.0,964.21155,714.21155,953.9355,703.9355,953.9355,703.9355,27058.414,36877.535,25412.373,37362.984,36807.99,36877.535,5329.6904,11950.609,9819.119,69.546875
C4,315415608,250.0,1301.5123,1051.5123,1295.5477,1045.5477,1295.5477,1045.5477,36477.457,76734.35,24390.354,77147.25,75880.375,76734.36,5625.831,52756.9,40256.9,853.9844
C3,-187855682,250.0,706.91486,456.91486,470.8907,220.89069,470.8907,220.89069,14405.432,15755.614,22421.225,27406.285,15672.017,15755.613,6055.8887,4985.0605,1350.1826,83.59766
C3,-1992587721,250.0,662.9929,412.99292,609.26373,359.26373,609.26373,359.26373,15546.18,19445.723,14996.603,21527.633,19206.703,19445.723,5287.9478,6531.0312,3899.543,239.01953
C6,675187325,250.0,755.8987,505.89868,669.1569,419.15692,669.1569,419.15692,17121.508,20544.564,18359.482,24099.588,20487.256,20544.566,5308.637,5740.1055,3423.0566,57.310547
C6,1761766398,250.0,1910.6223,1660.6223,1906.311,1656.311,1906.311,1656.311,80623.26,114246.57,72320.59,114537.836,114084.0,114246.57,6592.6074,42217.242,33623.312,162.57031
C1,630898849,250.0,875.7602,625.7602,828.9016,578.9016,828.9016,578.9016,19992.404,29849.65,15474.561,32030.852,29329.746,29849.65,6732.623,16556.291,9857.246,519.9043
C7,-2048043543,250.0,1136.8651,886.8651,1129.2317,879.2317,1129.2317,879.2317,37767.836,47130.125,36935.57,47516.008,47049.254,47130.125,6973.5,10580.4375,9362.289,80.87109
C2,1380944539,250.0,679.4151,429.4151,590.45605,340.45605,590.45605,340.45605,19521.703,23110.04,21658.232,27593.61,22992.285,23110.04,6185.0737,5935.377,3588.336,117.75391
C1,-443350544,250.0,490.65924,240.65924,444.53253,194.53253,444.53253,194.53253,11307.902,12271.085,12903.148,14026.43,12242.869,12271.084,5256.038,1123.2817,963.1821,28.215332
C3,66651665,250.0,401.57983,151.57983,393.8256,143.82559,393.8256,143.82559,10771.094,11178.009,10568.277,11479.075,11140.774,11178.009,6364.496,910.79785,406.91504,37.234375
C3,-1385530526,250.0,729.5535,479.55353,511.14697,261.14697,511.14697,261.14697,14587.0625,17553.22,15043.075,27813.576,17284.777,17553.22,6121.724,12770.5,2966.1582,268.44336
C1,-1040023681,250.0,705.0047,455.0047,644.3859,394.38593,644.3859,394.38593,13755.694,19500.516,10012.392,21978.959,19161.082,19500.516,4640.316,11966.566,5744.8203,339.4336
C1,1909811994,250.0,699.22253,449.22253,656.6558,406.65582,656.6558,406.65582,19183.977,24640.1,14650.383,26070.717,24339.203,24640.104,6969.6973,11420.334,5456.122,300.9004
C3,-463642527,250.0,1040.7092,790.7092,1023.59796,773.59796,1023.59796,773.59796,29397.846,44354.664,15505.388,45020.3,43591.484,44354.664,5346.613,29514.912,14956.818,763.1797
C3,481889107,250.0,669.3369,419.3369,606.30835,356.30835,606.30835,356.30835,20598.48,23702.748,18109.203,26349.07,23304.72,23702.748,6849.8594,8239.867,3104.2686,398.0293
C1,1466068709,250.0,652.43835,402.43835,580.3437,330.3437,580.3437,330.3437,16341.674,19197.275,12006.447,22439.59,18642.395,19197.28,5702.874,10433.142,2855.6016,554.88574
C2,542933640,250.0,1747.9008,1497.9008,1748.8822,1498.8822,1748.8822,1498.8822,47164.223,85442.67,29482.682,85385.39,84720.914,85442.67,7957.0176,55902.71,38278.45,721.7578
C1,-31587717,250.0,854.317,604.317,759.1038,509.10382,759.1038,509.10382,16991.121,24191.34,14483.921,27306.457,23971.818,24191.34,6485.7534,12822.535,7200.2188,219.52148
C1,-1608197371,250.0,691.08057,441.08057,618.25,368.25,618.25,368.25,15237.673,19873.57,13155.419,22670.408,19608.836,19873.57,6944.766,9514.99,4635.8984,264.73438
C1,-806685258,250.0,1229.0139,979.0139,1205.2239,955.2239,1205.2239,955.2239,34495.777,58019.223,20368.99,59290.35,57158.113,58019.227,7063.8643,38921.363,23523.445,861.1133
C5,1337272588,250.0,737.67645,487.67645,731.9748,481.9748,731.9748,481.9748,20522.947,26023.568,20305.797,26255.936,26018.57,26023.566,6209.151,5950.1406,5500.621,4.9960938
C1,1134486876,250.0,881.45624,631.45624,453.99353,203.99353,453.99353,203.99353,12347.703,13183.844,24986.754,31278.346,13144.811,13183.844,5854.6646,6291.592,836.13965,39.033203
