# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D1.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=1.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,647.7943,397.7943,628.3126,378.31262,628.3126,378.31262,54482.207,59423.93,54033.15,61868.086,59368.93,59423.93,14513.473,7834.9375,4941.7227,55.0
C12,-506496402,250.0,1581.2655,1331.2655,1571.5273,1321.5273,1571.5273,1321.5273,195028.92,253472.94,176646.56,255412.78,253357.92,253472.94,15145.544,78766.22,58444.016,115.015625
C8,-41169962,250.0,894.0693,644.0693,633.8875,383.8875,633.8875,383.8875,50943.52,56539.273,74137.95,88093.01,56511.277,56539.273,14128.836,13955.055,5595.754,27.996094
C7,2018695370,250.0,681.2901,431.2901,526.5989,276.59888,526.5989,276.59888,39357.156,44233.555,50048.383,62601.336,44196.402,44233.555,14395.886,12552.953,4876.3984,37.152344
C7,1083428877,250.0,1197.146,947.146,816.61523,566.61523,816.61523,566.61523,57337.42,65603.84,80951.37,105203.8,65539.01,65603.84,13528.273,24252.43,8266.422,64.83594
C2,298499967,250.0,1030.6031,780.60315,1002.52985,752.52985,1002.52985,752.52985,68680.93,106209.445,38573.457,109459.805,105846.234,106209.44,14670.942,70886.34,37528.51,363.1953
C3,-1264165101,250.0,1029.6503,779.65027,785.44366,535.44366,785.44366,535.44366,47371.145,87009.27,37103.066,121697.98,86392.86,87009.29,14441.367,84594.91,39638.13,616.4297
C2,1316144193,250.0,1019.69904,769.69904,254.35637,4.356369,254.35637,4.356369,14040.359,14042.482,129185.52,136843.1,14040.482,14042.484,13618.242,7657.5703,2.1230469,2.0009766
C1,315415608,250.0,690.7631,440.76312,673.7265,423.7265,673.7265,423.7265,45667.824,66288.945,39151.09,68233.664,66017.266,66288.945,18480.1,29082.572,20621.12,271.6797
C10,-187855682,250.0,747.6862,497.68622,651.1703,401.1703,651.1703,401.1703,45993.027,50170.23,52278.676,58768.71,50155.227,50170.23,12587.047,6490.035,4177.203,15.003906
