# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,588.57056,338.57056,405.17993,155.17993,405.17993,155.17993,27962.16,28840.367,44910.965,51023.78,28673.24,28840.367,12604.593,6112.8164,878.208,167.12793
C12,-506496402,250.0,3180.5579,2930.5579,1976.9968,1726.9968,1976.9968,1726.9968,257387.25,341378.3,353115.0,595985.06,340703.7,341378.34,14521.312,242870.06,83991.06,674.65625
C8,-41169962,250.0,847.0336,597.0336,637.9036,387.90363,637.9036,387.90363,49650.516,54421.72,67858.96,81784.42,54230.16,54421.723,13240.326,13925.461,4771.203,191.5625
C7,2018695370,250.0,987.8838,737.8838,987.73364,737.73364,987.73364,737.73364,76028.44,96039.13,68270.0,96056.69,95731.24,96039.13,13520.759,27786.688,20010.695,307.89062
C7,1083428877,250.0,1270.767,1020.76697,1249.4912,999.4912,1249.4912,999.4912,92442.16,109769.74,86748.734,112019.16,109379.766,109769.74,10695.001,25270.422,17327.586,389.97656
C2,298499967,250.0,1443.8119,1193.8119,1370.6179,1120.6179,1370.6179,1120.6179,86904.12,157917.97,46039.78,167467.3,155775.97,157917.97,12583.496,121427.516,71013.84,2142.0
C3,-1264165101,250.0,1977.0706,1727.0706,1935.6262,1685.6262,1935.6262,1685.6262,101209.914,260039.08,55754.266,265392.9,257514.28,260039.1,13246.929,209638.66,158829.17,2524.8281
C2,1316144193,250.0,731.10046,481.10046,423.2292,173.22919,423.2292,173.22919,30655.564,31510.82,71399.84,76199.68,31447.238,31510.82,12664.948,4799.836,855.2578,63.58203
C1,315415608,250.0,802.73303,552.73303,672.173,422.17297,672.173,422.17297,38426.395,55892.67,28469.95,71464.65,54483.48,55892.676,12726.248,42994.695,17466.275,1409.1953
C10,-187855682,250.0,977.89966,727.89966,602.61456,352.61456,602.61456,352.61456,40173.758,43062.117,66624.6,77513.875,42983.664,43062.117,11683.791,10889.273,2888.3574,78.45117
C4,-1992587721,250.0,1308.5881,1058.5881,1204.8068,954.80676,1204.8068,954.80676,84599.695,126570.05,45336.062,138192.72,125021.664,126570.04,13049.003,92856.66,41970.35,1548.375
C10,675187325,250.0,1368.2853,1118.2853,1359.3986,1109.3986,1359.3986,1109.3986,132080.84,151116.92,126100.89,152260.67,150937.88,151116.92,15174.658,26159.781,19036.078,179.04688
C4,1761766398,250.0,718.6619,468.66193,515.73413,265.73413,515.73413,265.73413,35106.516,38493.89,44195.867,58566.918,38245.58,38493.89,13873.284,14371.051,3387.375,248.3125
C13,630898849,250.0,995.48914,745.48914,992.5244,742.5244,992.5244,742.5244,78629.53,89103.53,77374.516,89454.3,88978.5,89103.52,13563.595,12079.781,10474.0,125.02344
C9,-2048043543,250.0,789.5316,539.5316,672.82935,422.82935,672.82935,422.82935,59591.7,65160.293,70217.73,78586.11,65015.305,65160.297,16238.996,8368.383,5568.5938,144.99219
C5,1380944539,250.0,803.8451,553.8451,810.7236,560.7236,810.7236,560.7236,59554.453,69362.336,55501.598,68592.05,69162.22,69362.336,17261.541,13090.453,9807.883,200.1211
C1,-443350544,250.0,1315.4401,1065.4401,526.10565,276.10565,526.10565,276.10565,47681.543,48722.61,136682.97,169905.62,48501.54,48722.617,13994.389,33222.656,1041.0625,221.07422
