# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D25.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=25.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,408405954,250.0,1481.7506,1231.7506,1687.661,1437.661,1687.661,1437.661,101911.23,166505.08,40648.473,143731.97,158986.88,166505.08,9483.68,103083.484,64593.86,7518.2188
C11,707954076,250.0,1172.6694,922.66943,1119.0911,869.09106,1119.0911,869.09106,91507.945,102939.44,90396.32,109389.75,101975.984,102939.44,9826.724,18993.43,11431.492,963.4531
C3,698709310,250.0,2681.4866,2431.4866,2584.7998,2334.7998,2584.7998,2334.7998,164334.42,275923.62,53891.99,288193.44,263619.3,275923.62,9752.225,234301.45,111589.22,12304.3125
C7,286052801,250.0,1622.5519,1372.5519,1725.5226,1475.5226,1725.5226,1475.5226,189794.75,217423.02,161518.95,202211.8,215429.08,217423.0,9730.079,40692.844,27628.266,1993.9219
C6,-190541709,250.0,1050.0583,800.05835,952.4882,702.4882,952.4882,702.4882,64714.273,79164.5,63398.61,88475.69,77784.984,79164.49,11940.426,25077.082,14450.23,1379.5
C14,-763205672,250.0,1263.6365,1013.6365,1259.4922,1009.4922,1259.4922,1009.4922,92941.64,106392.11,87941.15,106845.82,105520.98,106392.125,9933.359,18904.672,13450.469,871.14844
C2,-1512022076,250.0,518.9605,268.9605,545.2623,295.26233,545.2623,295.26233,36821.203,37456.348,34374.84,35098.965,37357.305,37456.35,12792.633,724.125,635.14453,99.046875
C8,-2041392862,250.0,2935.9146,2685.9146,2873.7634,2623.7634,2873.7634,2623.7634,214383.86,450639.2,150335.47,462988.9,442068.7,450639.22,8866.346,312653.44,236255.33,8570.531
C4,-1124915830,250.0,1944.2188,1694.2188,2073.0142,1823.0142,2073.0142,1823.0142,164724.67,245065.33,73647.95,227305.83,231472.31,245065.33,9452.356,153657.88,80340.66,13593.016
C13,174823762,250.0,907.64404,657.64404,963.2428,713.2428,963.2428,713.2428,73226.0,79940.83,66096.27,73919.766,79575.84,79940.83,9689.122,7823.492,6714.824,364.98438
