# ExperimentSet [id=resultsExperiments/timelinessDisruption/V16E2D10.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=10.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C3,1774763047,250.0,1039.114,789.114,1011.2018,761.2018,80809.41,91040.055,94491.32,76206.484,10262.42,10262.42,10262.42,18284.836,10230.648
C12,-506496402,250.0,4348.795,4098.795,1806.7231,1556.7231,225157.1,298257.38,833650.6,489575.25,13037.474,13037.475,13037.475,344075.34,73100.28
C8,-41169962,250.0,1135.8513,885.8513,747.5362,497.5362,64202.35,71080.74,117664.195,93791.29,14263.495,14263.497,14263.497,23872.906,6878.3906
C7,2018695370,250.0,940.2334,690.2334,608.85114,358.85114,40902.95,46462.234,83068.516,63438.156,11600.732,11600.732,11600.732,19630.36,5559.283
C7,1083428877,250.0,1366.8901,1116.8901,1020.4258,770.4258,71455.33,81729.09,115462.19,90620.1,11708.223,11708.224,11708.223,24842.086,10273.762
C2,298499967,250.0,1616.7855,1366.7855,1187.409,937.40906,77984.62,124198.5,179034.28,52646.082,12320.775,12320.774,12320.774,126388.19,46213.883
C3,-1264165101,250.0,2023.1256,1773.1256,2056.3396,1806.3396,103394.66,274539.62,269525.0,46147.05,12109.253,12109.254,12109.254,223377.95,171144.97
C2,1316144193,250.0,1062.1063,812.1063,316.5901,66.59009,20241.084,20261.943,130603.375,120296.85,13620.891,13620.891,13620.891,10306.523,20.859375
C1,315415608,250.0,882.72925,632.72925,756.9142,506.91418,42838.445,62700.465,76680.36,30812.352,13012.846,13012.844,13012.844,45868.008,19862.021
C10,-187855682,250.0,763.8689,513.8689,594.1303,344.1303,41292.758,43260.02,61206.207,54837.02,11212.031,11212.031,11212.031,6369.1875,1967.2617
C4,-1992587721,250.0,1758.1954,1508.1954,1721.0133,1471.0133,117030.79,187388.94,192165.72,51508.09,13016.327,13016.327,13016.327,140657.62,70358.15
C10,675187325,250.0,1648.0358,1398.0358,1636.0424,1386.0424,163354.48,192339.12,194217.77,158167.28,13085.966,13085.965,13085.965,36050.484,28984.64
C4,1761766398,250.0,1213.9895,963.9895,983.8947,733.8947,76774.92,92137.37,117291.91,75947.7,13113.446,13113.445,13113.446,41344.203,15362.445
C13,630898849,250.0,1164.81,914.81006,1100.8163,850.8163,92002.766,104286.59,111737.44,97207.86,12299.734,12299.736,12299.734,14529.578,12283.828
C9,-2048043543,250.0,678.9054,428.9054,636.1233,386.1233,54325.04,57028.074,61880.117,58215.82,14763.085,14763.085,14763.085,3664.2969,2703.0352
C5,1380944539,250.0,742.1515,492.1515,638.6142,388.6142,42260.125,47998.242,57540.16,46351.656,13326.853,13326.852,13326.852,11188.504,5738.117
C1,-443350544,250.0,1882.1145,1632.1145,1284.553,1034.553,156855.86,172807.34,278306.66,199466.77,12494.359,12494.359,12494.359,78839.91,15951.484
C9,66651665,250.0,1497.6841,1247.6841,566.9757,316.9757,44570.613,45923.508,170078.12,147471.55,12248.174,12248.174,12248.175,22606.578,1352.8965
C10,-1385530526,250.0,2130.0112,1880.0112,2130.0112,1880.0112,219073.83,261901.86,261901.88,210434.2,14008.233,14008.233,14008.235,51467.67,42828.03
C3,-1040023681,250.0,1399.846,1149.846,1158.3274,908.3274,96194.83,117537.76,146195.12,77272.03,14386.895,14386.895,14386.894,68923.09,21342.922
C7,1909811994,250.0,608.923,358.92297,597.63293,347.63293,52102.836,54875.53,56058.844,52156.53,13588.386,13588.387,13588.387,3902.3125,2772.6953
C1,-463642527,250.0,2188.2031,1938.2031,2080.861,1830.8611,129960.76,252426.27,266249.84,79076.57,12594.314,12594.314,12594.314,187173.28,122465.51
C3,481889107,250.0,1202.9283,952.92834,994.93866,744.93866,59063.977,93495.09,118502.88,31949.6,11901.175,11901.175,11901.175,86553.28,34431.12
C1,1466068709,250.0,1318.5142,1068.5142,970.0362,720.0362,54811.81,79426.51,113058.266,46162.863,13404.346,13404.348,13404.348,66895.41,24614.695
C1,542933640,250.0,737.8722,487.8722,674.45215,424.45215,52409.812,57723.523,64897.332,55173.03,13893.745,13893.745,13893.745,9724.301,5313.711
C2,-31587717,250.0,1051.947,801.947,948.2025,698.2025,52185.43,81434.9,92045.46,34451.95,11693.558,11693.558,11693.558,57593.516,29249.473
C3,-1608197371,250.0,1610.9034,1360.9034,758.43335,508.43335,62249.7,69438.63,188265.19,120322.82,12636.397,12636.398,12636.396,67942.36,7188.9336
C2,-806685258,250.0,1549.0879,1299.0879,1554.7887,1304.7887,121452.94,222020.31,220816.9,57280.42,10490.719,10490.72,10490.721,163536.48,100567.375
C1,1337272588,250.0,3479.5422,3229.5422,3209.6948,2959.6948,265550.8,601371.6,662613.1,86357.016,13694.55,13694.551,13694.55,576256.1,335820.8
C3,1134486876,250.0,862.8853,612.8853,851.0045,601.0045,43676.113,67077.03,68199.164,25960.084,10636.295,10636.297,10636.297,42239.08,23400.914
C3,408405954,250.0,1742.8982,1492.8982,1646.3597,1396.3597,106576.12,179146.92,191916.98,49021.418,10637.544,10637.544,10637.545,142895.56,72570.805
C11,707954076,250.0,1178.8347,928.8347,695.6456,445.64563,57182.4,62521.0,123150.375,101429.44,12077.1,12077.101,12077.101,21720.938,5338.6016
C3,698709310,250.0,1561.248,1311.248,1381.0581,1131.0581,89144.34,134431.81,157550.52,38740.758,12176.084,12176.084,12176.084,118809.766,45287.47
C7,286052801,250.0,1308.2076,1058.2076,1173.9214,923.9214,116648.73,133056.19,151594.47,123296.57,11668.715,11668.715,11668.716,28297.898,16407.453
C6,-190541709,250.0,1041.2334,791.2334,1034.7412,784.7412,74808.79,96874.73,97436.96,67145.74,13416.342,13416.341,13416.342,30291.219,22065.938
C14,-763205672,250.0,790.57184,540.57184,699.8284,449.82843,47720.867,52152.574,62225.42,52224.16,10934.041,10934.041,10934.04,10001.262,4431.703
C2,-1512022076,250.0,459.98047,209.98047,438.7914,188.79141,30294.393,30985.893,33145.527,32159.385,13645.267,13645.268,13645.267,986.1426,691.5
C8,-2041392862,250.0,2078.4539,1828.4539,2010.0121,1760.0121,158079.69,321905.88,334977.3,124956.0,12958.901,12958.902,12958.9,210021.31,163826.19
C4,-1124915830,250.0,2098.5503,1848.5503,1293.3048,1043.3048,109485.84,155236.44,277506.88,79990.98,13212.905,13212.905,13212.905,197515.9,45750.594
C13,174823762,250.0,607.8157,357.81567,566.6515,316.6515,39386.047,41664.02,46287.215,42889.953,11550.356,11550.357,11550.357,3397.2637,2277.9707
C3,-1668190253,250.0,2461.3289,2211.3289,972.5819,722.5819,72932.32,94682.125,287464.53,88295.55,14919.413,14919.413,14919.414,199169.0,21749.805
