# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D0.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=0.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,495.5625,245.5625,376.6911,126.6911,376.6911,126.6911,26400.486,27438.193,36332.06,39655.824,27438.193,27438.191,14811.861,3323.7637,1037.707,-9.765625E-4
C12,-506496402,250.0,2174.9614,1924.9614,1907.2704,1657.2704,1907.2704,1657.2704,251818.19,330767.16,248479.44,388460.28,330767.16,330767.16,14485.567,139980.84,78948.97,0.0
C8,-41169962,250.0,1062.2682,812.2682,846.06885,596.06885,846.06885,596.06885,73364.48,84101.27,88651.02,109406.52,84101.27,84101.27,15825.871,20755.5,10736.801,0.0
C7,2018695370,250.0,740.1062,490.1062,612.7542,362.7542,612.7542,362.7542,47757.633,54738.84,53380.684,70179.414,54738.844,54738.844,14346.419,16798.73,6981.207,0.00390625
C7,1083428877,250.0,761.34125,511.34125,506.8506,256.8506,506.8506,256.8506,30226.764,33057.184,45528.83,56294.707,33057.184,33057.184,12024.421,10765.879,2830.42,0.0
C2,298499967,250.0,813.5995,563.5995,782.3639,532.3639,782.3639,532.3639,54723.707,81973.89,35425.656,86017.555,81973.9,81973.89,15809.289,50591.9,27250.184,-0.0078125
C3,-1264165101,250.0,1167.665,917.66504,1140.2642,890.26416,1140.2642,890.26416,64117.56,140708.78,44170.242,144310.6,140708.78,140708.78,15022.093,100140.35,76591.22,0.0
C2,1316144193,250.0,656.8949,406.8949,617.1774,367.17743,617.1774,367.17743,58265.168,59996.297,62488.28,66176.46,59996.3,59996.3,13986.152,3688.1797,1731.1289,0.0
C1,315415608,250.0,681.6012,431.6012,665.06323,415.06323,665.06323,415.06323,40562.176,63262.09,35258.52,65056.375,63262.086,63262.082,17049.104,29797.855,22699.91,-0.0078125
C10,-187855682,250.0,723.66455,473.66455,447.5459,197.5459,447.5459,197.5459,34645.875,35826.523,59352.273,65113.773,35826.52,35826.523,15114.416,5761.5,1180.6484,0.00390625
C4,-1992587721,250.0,866.9861,616.9861,642.4615,392.4615,642.4615,392.4615,46752.176,61608.574,38211.297,90210.98,61608.57,61608.574,15085.282,51999.68,14856.398,0.00390625
C10,675187325,250.0,1007.30334,757.30334,765.7466,515.7466,765.7466,515.7466,73247.3,79370.234,93216.87,106264.77,79370.24,79370.234,16448.824,13047.906,6122.9375,-0.0078125
C4,1761766398,250.0,960.47034,710.47034,409.50366,159.50366,409.50366,159.50366,28956.965,30264.848,61031.496,88632.93,30264.854,30264.85,14380.172,27601.434,1307.8838,-0.0029296875
