# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D100.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=100.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,2332.6436,2082.6436,2311.3655,2061.3655,2311.3655,2061.3655,189239.95,209098.12,171531.7,211635.0,203594.56,209098.14,5257.3345,40103.297,19858.172,5503.578
C12,-506496402,250.0,7076.6475,6826.6475,6034.3066,5784.3066,6034.3066,5784.3066,722696.5,963602.5,724690.1,1167643.9,954004.0,963602.4,6034.346,442953.75,240906.0,9598.375
C8,-41169962,250.0,4911.8105,4661.8105,3748.6938,3498.6938,3748.6938,3498.6938,313064.38,379874.16,385483.34,516800.9,375826.8,379874.12,6407.5713,131317.56,66809.78,4047.3125
C7,2018695370,250.0,2861.2207,2611.2207,3206.5967,2956.5967,3206.5967,2956.5967,225299.11,289166.34,173002.84,251137.17,284312.47,289166.38,6149.6855,78134.33,63867.234,4853.9062
C7,1083428877,250.0,5337.652,5087.652,5657.604,5407.604,5657.604,5407.604,397979.25,488064.6,338413.97,458889.72,481505.06,488064.62,6130.844,120475.75,90085.34,6559.5625
C2,298499967,250.0,4840.392,4590.392,4925.6523,4675.6523,4925.6523,4675.6523,298213.94,543037.2,103581.71,531714.94,501801.16,543037.25,5804.3115,428133.22,244823.25,41236.094
C3,-1264165101,250.0,7246.1816,6996.1816,9537.198,9287.198,9537.198,9287.198,448929.6,1285754.9,95774.445,943438.9,1224508.4,1285754.9,5584.9688,847664.4,836825.25,61246.5
C2,1316144193,250.0,3587.9292,3337.9292,911.51086,661.51086,911.51086,661.51086,54702.855,56011.004,411953.22,449125.3,55520.406,56011.01,6496.1797,37172.094,1308.1484,490.60547
C1,315415608,250.0,2732.5647,2482.5647,3261.365,3011.365,3261.365,3011.365,152879.6,308068.44,55511.324,250369.6,279998.2,308068.44,6467.8867,194858.27,155188.86,28070.25
C10,-187855682,250.0,2461.1685,2211.1685,2693.9644,2443.9644,2693.9644,2443.9644,202430.45,224972.0,174101.56,200983.36,223211.28,224972.02,6062.088,26881.797,22541.547,1760.7344
C4,-1992587721,250.0,5218.3037,4968.3037,5394.6973,5144.6973,5394.6973,5144.6973,336861.62,570663.9,111486.625,549127.9,532814.5,570663.8,6727.7686,437641.25,233802.28,37849.312
C10,675187325,250.0,4338.9556,4088.9556,4702.273,4452.273,4702.273,4452.273,400565.88,489216.56,342737.97,443462.44,486191.22,489216.6,6518.4526,100724.5,88650.72,3025.4062
C4,1761766398,250.0,3313.349,3063.349,2384.3528,2134.3528,2384.3528,2134.3528,167058.23,196577.9,183345.56,302016.53,187860.77,196577.89,6230.8076,118670.97,29519.672,8717.125
C13,630898849,250.0,5590.412,5340.412,5974.2593,5724.2593,5974.2593,5724.2593,515242.12,612647.2,460731.88,568864.5,610726.6,612647.1,5427.6284,108132.625,97405.06,1920.5
C9,-2048043543,250.0,2439.448,2189.448,2639.821,2389.821,2639.821,2389.821,217504.84,238729.83,193724.05,219013.16,237112.75,238729.83,7177.7876,25289.11,21224.984,1617.0781
C5,1380944539,250.0,3114.0242,2864.0242,2299.6682,2049.6682,2299.6682,2049.6682,146502.38,180019.88,183902.8,265656.94,175658.25,180019.88,6621.1763,81754.14,33517.5,4361.625
C1,-443350544,250.0,8992.475,8742.475,8420.968,8170.968,8420.968,8170.968,1153815.9,1324496.2,990861.8,1429959.4,1300907.8,1324496.4,5275.8,439097.62,170680.38,23588.625
C9,66651665,250.0,4734.0435,4484.0435,2440.0366,2190.0366,2440.0366,2190.0366,210690.36,229128.52,475408.06,554551.8,227385.75,229128.5,5981.2974,79143.75,18438.156,1742.75
C10,-1385530526,250.0,6960.023,6710.023,6957.995,6707.995,6957.995,6707.995,668981.9,848616.56,626256.2,848911.1,844889.5,848616.56,6721.1133,222654.94,179634.69,3727.0625
C3,-1040023681,250.0,6842.485,6592.485,7009.2417,6759.2417,7009.2417,6759.2417,559406.4,753240.56,297492.1,732702.75,729295.7,753240.56,5479.4175,435210.62,193834.19,23944.875
C7,1909811994,250.0,2577.1938,2327.1938,2674.8657,2424.8657,2674.8657,2424.8657,205065.73,229042.64,187946.34,218233.34,227427.02,229042.64,6115.7866,30287.0,23976.906,1615.625
C1,-463642527,250.0,10458.343,10208.343,11008.938,10758.938,11008.938,10758.938,665492.7,1424147.5,303755.94,1344209.6,1365817.9,1424147.5,5771.2524,1040453.7,758654.8,58329.625
C3,481889107,250.0,3623.2178,3373.2178,4844.569,4594.569,4844.569,4594.569,285334.75,500788.84,67974.54,358442.25,466958.3,500788.9,6661.0005,290467.72,215454.1,33830.594
C1,1466068709,250.0,3341.6848,3091.6848,4029.2788,3779.2788,4029.2788,3779.2788,230111.33,363912.2,87221.1,297466.56,343200.0,363912.2,5894.7495,210245.47,133800.86,20712.188
C1,542933640,250.0,2912.0952,2662.0952,3083.3828,2833.3828,3083.3828,2833.3828,251194.11,294983.06,203032.84,275433.62,284335.75,294983.1,6183.1626,72400.78,43788.953,10647.344
