# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D10.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=10.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,1774763047,250.0,1039.114,789.114,1011.2018,761.2018,1011.2018,761.2018,80809.41,91040.055,76206.49,94491.305,90381.164,91040.055,10262.42,18284.812,10230.648,658.8906
C12,-506496402,250.0,4348.795,4098.795,1806.7231,1556.7231,1806.7231,1556.7231,225157.1,298257.38,489575.25,833650.6,296952.5,298257.38,13037.475,344075.34,73100.28,1304.875
C8,-41169962,250.0,1135.8513,885.8513,747.5362,497.5362,747.5362,497.5362,64202.35,71080.734,93791.28,117664.2,70607.914,71080.74,14263.497,23872.914,6878.383,472.82812
C7,2018695370,250.0,940.2334,690.2334,608.85114,358.85114,608.85114,358.85114,40902.95,46462.234,63438.156,83068.52,46129.17,46462.234,11600.732,19630.367,5559.283,333.0625
C7,1083428877,250.0,1366.8901,1116.8901,1020.4258,770.4258,1020.4258,770.4258,71455.33,81729.1,90620.1,115462.19,81079.33,81729.1,11708.223,24842.094,10273.77,649.7656
C2,298499967,250.0,1616.7855,1366.7855,1187.409,937.40906,1187.409,937.40906,77984.63,124198.5,52646.082,179034.27,120410.305,124198.51,12320.775,126388.18,46213.867,3788.2031
C3,-1264165101,250.0,2023.1256,1773.1256,2056.3396,1806.3396,2056.3396,1806.3396,103394.65,274539.62,46147.05,269525.03,267706.97,274539.62,12109.253,223377.98,171144.98,6832.6562
C2,1316144193,250.0,1062.1063,812.1063,316.5901,66.59009,316.5901,66.59009,20241.084,20261.941,120296.85,130603.37,20251.941,20261.941,13620.891,10306.516,20.857422,10.0
C1,315415608,250.0,882.72925,632.72925,756.9142,506.91418,756.9142,506.91418,42838.445,62700.473,30812.352,76680.36,60125.715,62700.465,13012.846,45868.008,19862.025,2574.75
C10,-187855682,250.0,763.8689,513.8689,594.1303,344.1303,594.1303,344.1303,41292.758,43260.023,54837.02,61206.21,43058.28,43260.016,11212.031,6369.1914,1967.2656,201.73438
C4,-1992587721,250.0,1758.1954,1508.1954,1721.0133,1471.0133,1721.0133,1471.0133,117030.79,187388.94,51508.09,192165.7,183507.16,187388.94,13016.327,140657.61,70358.15,3881.7812
C10,675187325,250.0,1648.0358,1398.0358,1636.0424,1386.0424,1636.0424,1386.0424,163354.45,192339.14,158167.28,194217.75,191751.05,192339.12,13085.965,36050.47,28984.688,588.0781
C4,1761766398,250.0,1213.9895,963.9895,983.8947,733.8947,983.8947,733.8947,76774.92,92137.37,75947.71,117291.914,91123.9,92137.37,13113.446,41344.203,15362.445,1013.46875
C13,630898849,250.0,1164.81,914.81006,1100.8163,850.8163,1100.8163,850.8163,92002.766,104286.59,97207.87,111737.44,104089.445,104286.61,12299.735,14529.57,12283.828,197.16406
C9,-2048043543,250.0,678.9054,428.9054,636.1233,386.1233,636.1233,386.1233,54325.035,57028.07,58215.83,61880.113,56842.02,57028.074,14763.085,3664.2852,2703.0352,186.05469
C5,1380944539,250.0,742.1515,492.1515,638.6142,388.6142,638.6142,388.6142,42260.125,47998.242,46351.656,57540.156,47538.43,47998.246,13326.852,11188.5,5738.117,459.8164
C1,-443350544,250.0,1882.1145,1632.1145,1284.553,1034.553,1284.553,1034.553,156855.88,172807.34,199466.8,278306.66,170292.31,172807.36,12494.36,78839.84,15951.469,2515.0469
C9,66651665,250.0,1497.6841,1247.6841,566.9757,316.9757,566.9757,316.9757,44570.613,45923.508,147471.55,170078.12,45774.04,45923.508,12248.174,22606.578,1352.8965,149.46875
C10,-1385530526,250.0,2130.0112,1880.0112,2130.0112,1880.0112,2130.0112,1880.0112,219073.84,261901.86,210434.22,261901.88,261571.48,261901.88,14008.234,51467.656,42828.016,330.39062
C3,-1040023681,250.0,1399.846,1149.846,1158.3274,908.3274,1158.3274,908.3274,96194.836,117537.76,77272.02,146195.12,115304.445,117537.76,14386.895,68923.11,21342.914,2233.3047
C7,1909811994,250.0,608.923,358.92297,597.63293,347.63293,597.63293,347.63293,52102.836,54875.535,52156.53,56058.844,54770.35,54875.535,13588.386,3902.3125,2772.6992,105.18359
C1,-463642527,250.0,2188.2031,1938.2031,2080.861,1830.8611,2080.861,1830.8611,129960.76,252426.27,79076.57,266249.84,247010.6,252426.27,12594.314,187173.28,122465.51,5415.672
C3,481889107,250.0,1202.9283,952.92834,994.93866,744.93866,994.93866,744.93866,59063.977,93495.09,31949.604,118502.875,89741.05,93495.086,11901.175,86553.27,34431.12,3754.039
C1,1466068709,250.0,1318.5142,1068.5142,970.0362,720.0362,970.0362,720.0362,54811.812,79426.5,46162.86,113058.266,77480.88,79426.51,13404.346,66895.41,24614.691,1945.6289
C1,542933640,250.0,737.8722,487.8722,674.45215,424.45215,674.45215,424.45215,52409.812,57723.527,55173.03,64897.336,56757.61,57723.523,13893.746,9724.305,5313.711,965.91406
C2,-31587717,250.0,1051.947,801.947,948.2025,698.2025,948.2025,698.2025,52185.434,81434.91,34451.95,92045.445,78482.31,81434.914,11693.558,57593.5,29249.477,2952.6016
C3,-1608197371,250.0,1610.9034,1360.9034,758.43335,508.43335,758.43335,508.43335,62249.703,69438.63,120322.836,188265.17,68647.14,69438.63,12636.398,67942.34,7188.9297,791.4922
C2,-806685258,250.0,1549.0879,1299.0879,1554.7887,1304.7887,1554.7887,1304.7887,121452.94,222020.31,57280.42,220816.9,209482.81,222020.31,10490.72,163536.48,100567.375,12537.5
C1,1337272588,250.0,3479.5422,3229.5422,3209.6948,2959.6948,3209.6948,2959.6948,265550.78,601371.6,86357.016,662613.06,588145.9,601371.6,13694.551,576256.0,335820.8,13225.75
C3,1134486876,250.0,862.8853,612.8853,851.0045,601.0045,851.0045,601.0045,43676.113,67077.03,25960.084,68199.16,65036.223,67077.03,10636.297,42239.07,23400.918,2040.8086
C3,408405954,250.0,1742.8982,1492.8982,1646.3597,1396.3597,1646.3597,1396.3597,106576.12,179146.92,49021.418,191916.98,175403.52,179146.92,10637.545,142895.56,72570.805,3743.4062
C11,707954076,250.0,1178.8347,928.8347,695.6456,445.64563,695.6456,445.64563,57182.4,62521.0,101429.44,123150.375,62242.47,62521.0,12077.101,21720.938,5338.6016,278.53125
C3,698709310,250.0,1561.248,1311.248,1381.0581,1131.0581,1381.0581,1131.0581,89144.35,134431.83,38740.758,157550.53,129490.08,134431.81,12176.085,118809.78,45287.477,4941.7344
C7,286052801,250.0,1308.2076,1058.2076,1173.9214,923.9214,1173.9214,923.9214,116648.72,133056.19,123296.58,151594.47,132429.86,133056.19,11668.715,28297.89,16407.469,626.3281
C6,-190541709,250.0,1041.2334,791.2334,1034.7412,784.7412,1034.7412,784.7412,74808.805,96874.734,67145.74,97436.95,96481.09,96874.73,13416.341,30291.207,22065.93,393.6328
C14,-763205672,250.0,790.57184,540.57184,699.8284,449.82843,699.8284,449.82843,47720.863,52152.58,52224.16,62225.43,51879.297,52152.57,10934.041,10001.27,4431.715,273.27344
C2,-1512022076,250.0,459.98047,209.98047,438.7914,188.79141,438.7914,188.79141,30294.393,30985.895,32159.385,33145.527,30929.531,30985.895,13645.267,986.14453,691.5039,56.36328
C8,-2041392862,250.0,2078.4539,1828.4539,2010.0121,1760.0121,2010.0121,1760.0121,158079.69,321905.88,124956.016,334977.34,318866.34,321905.88,12958.902,210021.33,163826.19,3039.5312
C4,-1124915830,250.0,2098.5503,1848.5503,1293.3048,1043.3048,1293.3048,1043.3048,109485.84,155236.42,79990.98,277506.88,148821.64,155236.44,13212.906,197515.9,45750.58,6414.797
C13,174823762,250.0,607.8157,357.81567,566.6515,316.6515,566.6515,316.6515,39386.047,41664.01,42889.953,46287.21,41549.465,41664.016,11550.357,3397.254,2277.963,114.54883
C3,-1668190253,250.0,2461.3289,2211.3289,972.5819,722.5819,972.5819,722.5819,72932.31,94682.13,88295.55,287464.53,91245.51,94682.14,14919.414,199169.0,21749.82,3436.6328
